Ortalis superciliaris,Least Concern
Ortalis vetula,Least Concern
Ortalis wagleri,Least Concern
Numida meleagris,Least Concern
Agelastes meleagrides,Vulnerable
Agelastes niger,Least Concern
Acryllium vulturinum,Least Concern
Guttera edouardi,Least Concern
Guttera plumifera,Least Concern
Guttera pucherani,Least Concern
Guttera verreauxi,Least Concern
Ptilopachus nahani,Vulnerable
Ptilopachus petrosus,Least Concern
Rhynchortyx cinctus,Near Threatened
Oreortyx pictus,Least Concern
Dendrortyx barbatus,Vulnerable
Dendrortyx leucophrys,Least Concern
Dendrortyx macroura,Least Concern
Philortyx fasciatus,Least Concern
Colinus cristatus,Least Concern
Colinus leucopogon,Least Concern
Colinus nigrogularis,Least Concern
Colinus virginianus,Near Threatened
Callipepla californica,Least Concern
Callipepla douglasii,Least Concern
Callipepla gambelii,Least Concern
Callipepla squamata,Least Concern
Cyrtonyx montezumae,Least Concern
Cyrtonyx ocellatus,Vulnerable
Dactylortyx thoracicus,Least Concern
Odontophorus atrifrons,Least Concern
Odontophorus balliviani,Least Concern
Odontophorus capueira,Least Concern
Odontophorus columbianus,Near Threatened
Odontophorus dialeucos,Least Concern
Odontophorus erythrops,Least Concern
Odontophorus gujanensis,Least Concern
Odontophorus guttatus,Least Concern
Odontophorus hyperythrus,Least Concern
Odontophorus leucolaemus,Least Concern
Odontophorus melanonotus,Least Concern
Odontophorus melanotis,Near Threatened
Odontophorus speciosus,Least Concern
Odontophorus stellatus,Least Concern
Odontophorus strophium,Vulnerable
Xenoperdix udzungwensis,Endangered
Caloperdix oculeus,Near Threatened
Rollulus rouloul,Vulnerable
Melanoperdix niger,Vulnerable
Arborophila ardens,Vulnerable
Arborophila atrogularis,Least Concern
Arborophila brunneopectus,Least Concern
Arborophila cambodiana,Least Concern
Arborophila campbelli,Least Concern
Arborophila crudigularis,Least Concern
Arborophila davidi,Near Threatened
Arborophila gingica,Near Threatened
Arborophila hyperythra,Least Concern
Arborophila javanica,Least Concern
Arborophila mandellii,Near Threatened
Arborophila orientalis,Vulnerable
Arborophila rolli,Least Concern
Arborophila rubrirostris,Least Concern
Arborophila rufipectus,Vulnerable
Arborophila rufogularis,Least Concern
Arborophila sumatrana,Least Concern
Arborophila torqueola,Least Concern
Lerwa lerwa,Least Concern
Ithaginis cruentus,Least Concern
Tragopan blythii,Vulnerable
Tragopan caboti,Vulnerable
Tragopan melanocephalus,Vulnerable
Tragopan satyra,Least Concern
Tragopan temminckii,Least Concern
Tetraophasis obscurus,Least Concern
Tetraophasis szechenyii,Least Concern
Lophophorus impejanus,Least Concern
Lophophorus lhuysii,Vulnerable
Lophophorus sclateri,Least Concern
Rhizothera dulitensis,Data Deficient
Rhizothera longirostris,Near Threatened
Pucrasia macrolopha,Least Concern
Meleagris gallopavo,Least Concern
Meleagris ocellata,Near Threatened
Bonasa umbellus,Least Concern
Tetrastes bonasia,Least Concern
Tetrastes sewerzowi,Near Threatened
Centrocercus minimus,Endangered
Centrocercus urophasianus,Near Threatened
Dendragapus fuliginosus,Least Concern
Dendragapus obscurus,Least Concern
Tympanuchus cupido,Near Threatened
Tympanuchus pallidicinctus,Vulnerable
Tympanuchus phasianellus,Least Concern
Lagopus lagopus,Least Concern
Lagopus leucura,Least Concern
Lagopus muta,Least Concern
Lagopus scotica,Unknown
Falcipennis falcipennis,Near Threatened
Canachites canadensis,Least Concern
Tetrao urogalloides,Least Concern
Tetrao urogallus,Least Concern
Lyrurus mlokosiewiczi,Near Threatened
Lyrurus tetrix,Least Concern
Perdix dauurica,Least Concern
Perdix hodgsoniae,Least Concern
Perdix perdix,Least Concern
Syrmaticus ellioti,Least Concern
Syrmaticus humiae,Vulnerable
Syrmaticus mikado,Least Concern
Syrmaticus reevesii,Vulnerable
Syrmaticus soemmerringii,Near Threatened
Chrysolophus amherstiae,Least Concern
Chrysolophus pictus,Least Concern
Phasianus colchicus,Least Concern
Phasianus versicolor,Least Concern
Catreus wallichii,Vulnerable
Crossoptilon auritum,Least Concern
Crossoptilon crossoptilon,Least Concern
Crossoptilon harmani,Least Concern
Crossoptilon mantchuricum,Least Concern
Lophura bulweri,Vulnerable
Lophura diardi,Least Concern
Lophura edwardsi,Critically Endangered
Lophura erythrophthalma,Critically Endangered
Lophura ignita,Vulnerable
Lophura inornata,Near Threatened
Lophura leucomelanos,Least Concern
Lophura nycthemera,Least Concern
Lophura pyronota,Endangered
Lophura rufa,Vulnerable
Lophura swinhoii,Near Threatened
Argusianus argus,Vulnerable
Rheinardia nigrescens,Near Threatened
Rheinardia ocellata,Critically Endangered
Afropavo congensis,Near Threatened
Pavo cristatus,Least Concern
Pavo muticus,Endangered
Tropicoperdix charltonii,Vulnerable
Tropicoperdix chloropus,Least Concern
Tropicoperdix graydoni,Near Threatened
Haematortyx sanguiniceps,Least Concern
Galloperdix bicalcarata,Least Concern
Galloperdix lunulata,Least Concern
Galloperdix spadicea,Least Concern
Polyplectron bicalcaratum,Least Concern
Polyplectron chalcurum,Least Concern
Polyplectron germaini,Vulnerable
Polyplectron inopinatum,Near Threatened
Polyplectron katsumatae,Endangered
Polyplectron malacense,Endangered
Polyplectron napoleonis,Vulnerable
Polyplectron schleiermacheri,Endangered
Bambusicola fytchii,Least Concern
Bambusicola sonorivox,Least Concern
Bambusicola thoracicus,Least Concern
Gallus gallus,Least Concern
Gallus lafayettii,Least Concern
Gallus sonneratii,Least Concern
Gallus varius,Least Concern
Peliperdix lathami,Least Concern
Campocolinus albogularis,Least Concern
Campocolinus coqui,Least Concern
Campocolinus schlegelii,Least Concern
Scleroptila afra,Least Concern
Scleroptila elgonensis,Least Concern
Scleroptila finschi,Least Concern
Scleroptila gutturalis,Least Concern
Scleroptila levaillantii,Least Concern
Scleroptila psilolaema,Near Threatened
Scleroptila shelleyi,Least Concern
Scleroptila streptophora,Least Concern
Scleroptila whytei,Least Concern
Ortygornis gularis,Near Threatened
Ortygornis pondicerianus,Least Concern
Ortygornis sephaena,Least Concern
Francolinus francolinus,Least Concern
Francolinus pictus,Least Concern
Francolinus pintadeanus,Least Concern
Tetraogallus altaicus,Least Concern
Tetraogallus caspius,Least Concern
Tetraogallus caucasicus,Least Concern
Tetraogallus himalayensis,Least Concern
Tetraogallus tibetanus,Least Concern
Ammoperdix griseogularis,Least Concern
Ammoperdix heyi,Least Concern
Synoicus adansonii,Least Concern
Synoicus chinensis,Least Concern
Synoicus monorthonyx,Near Threatened
Synoicus ypsilophorus,Least Concern
Margaroperdix madagarensis,Least Concern
Coturnix coromandelica,Least Concern
Coturnix coturnix,Least Concern
Coturnix delegorguei,Least Concern
Coturnix japonica,Near Threatened
Coturnix novaezelandiae,Extinct
Coturnix pectoralis,Least Concern
Alectoris barbara,Least Concern
Alectoris chukar,Least Concern
Alectoris graeca,Near Threatened
Alectoris magna,Least Concern
Alectoris melanocephala,Least Concern
Alectoris philbyi,Least Concern
Alectoris rufa,Near Threatened
Ophrysia superciliosa,Critically Endangered
Perdicula argoondah,Least Concern
Perdicula asiatica,Least Concern
Perdicula erythrorhyncha,Least Concern
Perdicula manipurensis,Critically Endangered
Pternistis adspersus,Least Concern
Pternistis afer,Least Concern
Pternistis ahantensis,Least Concern
Pternistis bicalcaratus,Least Concern
Pternistis camerunensis,Endangered
Pternistis capensis,Least Concern
Pternistis castaneicollis,Least Concern
Pternistis clappertoni,Least Concern
Pternistis erckelii,Least Concern
Pternistis griseostriatus,Least Concern
Pternistis hartlaubi,Least Concern
Pternistis harwoodi,Near Threatened
Pternistis hildebrandti,Least Concern
Pternistis icterorhynchus,Least Concern
Pternistis jacksoni,Least Concern
Pternistis leucoscepus,Least Concern
Pternistis natalensis,Least Concern
Pternistis nobilis,Least Concern
Pternistis ochropectus,Critically Endangered
Pternistis rufopictus,Least Concern
Pternistis squamatus,Least Concern
Pternistis swainsonii,Least Concern
Pternistis swierstrai,Vulnerable
Phoeniconaias minor,Near Threatened
Phoenicoparrus andinus,Vulnerable
Phoenicoparrus jamesi,Near Threatened
Phoenicopterus chilensis,Near Threatened
Phoenicopterus roseus,Least Concern
Phoenicopterus ruber,Least Concern
Rollandia microptera,Endangered
Rollandia rolland,Least Concern
Tachybaptus dominicus,Least Concern
Tachybaptus novaehollandiae,Least Concern
Tachybaptus pelzelnii,Endangered
Tachybaptus ruficollis,Least Concern
Tachybaptus rufolavatus,Extinct
Podilymbus gigas,Extinct
Podilymbus podiceps,Least Concern
Poliocephalus poliocephalus,Least Concern
Poliocephalus rufopectus,Least Concern
Podiceps andinus,Extinct
Podiceps auritus,Vulnerable
Podiceps cristatus,Least Concern
Podiceps gallardoi,Critically Endangered
Podiceps grisegena,Least Concern
Podiceps major,Least Concern
Podiceps nigricollis,Least Concern
Podiceps occipitalis,Least Concern
Podiceps taczanowskii,Endangered
Aechmophorus clarkii,Least Concern
Aechmophorus occidentalis,Least Concern
Corythaeola cristata,Least Concern
Crinifer concolor,Least Concern
Crinifer leucogaster,Least Concern
Crinifer personatus,Unknown
Crinifer piscator,Least Concern
Crinifer zonurus,Least Concern
Gallirex johnstoni,Least Concern
Gallirex porphyreolophus,Least Concern
Menelikornis leucotis,Least Concern
Menelikornis ruspolii,Vulnerable
Tauraco bannermani,Endangered
Tauraco corythaix,Least Concern
Tauraco erythrolophus,Least Concern
Tauraco fischeri,Near Threatened
Tauraco hartlaubi,Least Concern
Tauraco leucolophus,Least Concern
Tauraco livingstonii,Least Concern
Tauraco macrorhynchus,Least Concern
Tauraco persa,Least Concern
Tauraco rossae,Least Concern
Tauraco schalowi,Least Concern
Tauraco schuettii,Least Concern
Tauraco violaceus,Least Concern
Otis tarda,Endangered
Ardeotis arabs,Near Threatened
Ardeotis australis,Least Concern
Ardeotis kori,Near Threatened
Ardeotis nigriceps,Critically Endangered
Chlamydotis macqueenii,Vulnerable
Chlamydotis undulata,Vulnerable
Neotis denhami,Near Threatened
Neotis heuglinii,Least Concern
Neotis ludwigii,Endangered
Neotis nuba,Near Threatened
Eupodotis caerulescens,Near Threatened
Eupodotis senegalensis,Least Concern
Heterotetrax humilis,Near Threatened
Heterotetrax rueppelii,Least Concern
Heterotetrax vigorsii,Least Concern
Lophotis gindiana,Least Concern
Lophotis ruficrista,Least Concern
Lophotis savilei,Least Concern
Afrotis afra,Vulnerable
Afrotis afraoides,Least Concern
Lissotis hartlaubii,Least Concern
Lissotis melanogaster,Least Concern
Houbaropsis bengalensis,Critically Endangered
Sypheotides indicus,Critically Endangered
Tetrax tetrax,Near Threatened
Guira guira,Least Concern
Crotophaga ani,Least Concern
Crotophaga major,Least Concern
Crotophaga sulcirostris,Least Concern
