GALLIFORMES: Odontophoridae

White-faced Ibis	Plegadis chihi	白脸彩鹮	Rare
 
PELECANIFORMES: Ardeidae

Black-crowned Night Heron	Nycticorax nycticorax	夜鹭	Rare
Green Heron	Butorides virescens	美洲绿鹭	
Western Cattle Egret	Bubulcus ibis	牛背鹭	
Great Blue Heron	Ardea herodias	大蓝鹭	
Great Egret	Ardea alba	大白鹭	Rare
Snowy Egret	Egretta thula	雪鹭	
 
PELECANIFORMES: Pelecanidae

American White Pelican	Pelecanus erythrorhynchos	美洲鹈鹕	Rare
Brown Pelican	Pelecanus occidentalis	褐鹈鹕	
 
ACCIPITRIFORMES: Cathartidae

Turkey Vulture	Cathartes aura	红头美洲鹫	Rare
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	鹗	
 
ACCIPITRIFORMES: Accipitridae

White-tailed Kite	Elanus leucurus	白尾鸢	
Golden Eagle	Aquila chrysaetos	金雕	
Sharp-shinned Hawk	Accipiter striatus	纹腹鹰	
Cooper's Hawk	Accipiter cooperii	库氏鹰	
Northern Harrier	Circus hudsonius	北鹞	
Bald Eagle	Haliaeetus leucocephalus	白头海雕	
Broad-winged Hawk	Buteo platypterus	巨翅鵟	Rare
Red-tailed Hawk	Buteo jamaicensis	红尾鵟	
Rough-legged Buzzard	Buteo lagopus	毛脚鵟	Rare
 
STRIGIFORMES: Tytonidae

American Barn Owl	Tyto furcata	美洲仓鸮	
 
STRIGIFORMES: Strigidae

Flammulated Owl	Psiloscops flammeolus	美洲角鸮	Rare
Great Horned Owl	Bubo virginianus	美洲雕鸮	Rare
Burrowing Owl	Athene cunicularia	穴小鸮	
Northern Saw-whet Owl	Aegolius acadicus	棕榈鬼鸮	
Long-eared Owl	Asio otus	长耳鸮	
Short-eared Owl	Asio flammeus	短耳鸮	
 
CORACIIFORMES: Alcedinidae

Belted Kingfisher	Megaceryle alcyon	白腹鱼狗	
 
PICIFORMES: Picidae

Lewis's Woodpecker	Melanerpes lewis	刘氏啄木鸟	
Acorn Woodpecker	Melanerpes formicivorus	橡树啄木鸟	
Yellow-bellied Sapsucker	Sphyrapicus varius	黄腹吸汁啄木鸟	Rare
Red-naped Sapsucker	Sphyrapicus nuchalis	红颈吸汁啄木鸟	Rare
Red-breasted Sapsucker	Sphyrapicus ruber	红胸吸汁啄木鸟	
Nuttall's Woodpecker	Dryobates nuttallii	加州啄木鸟	Rare
Downy Woodpecker	Dryobates pubescens	绒啄木鸟	Rare
Northern Flicker	Colaptes auratus	北扑翅鴷	
 
FALCONIFORMES: Falconidae

American Kestrel	Falco sparverius	美洲隼	
Merlin	Falco columbarius	灰背隼	
Prairie Falcon	Falco mexicanus	草原隼	Rare
Peregrine Falcon	Falco peregrinus	游隼	
 
PASSERIFORMES: Tyrannidae

Eastern Phoebe	Sayornis phoebe	灰胸长尾霸鹟	Rare
Black Phoebe	Sayornis nigricans	黑长尾霸鹟	
Say's Phoebe	Sayornis saya	棕腹长尾霸鹟	
Olive-sided Flycatcher	Contopus cooperi	绿胁绿霸鹟	
Western Wood Pewee	Contopus sordidulus	西绿霸鹟	
Willow Flycatcher	Empidonax traillii	纹霸鹟	
Least Flycatcher	Empidonax minimus	小纹霸鹟	Rare
Hammond's Flycatcher	Empidonax hammondii	哈氏纹霸鹟	
American Dusky Flycatcher	Empidonax oberholseri	暗纹霸鹟	
American Grey Flycatcher	Empidonax wrightii	灰纹霸鹟	
Pacific-slope Flycatcher	Empidonax difficilis	北美纹霸鹟	
Vermilion Flycatcher	Pyrocephalus obscurus	朱红霸鹟	Rare
Tropical Kingbird	Tyrannus melancholicus	热带王霸鹟	Rare
Cassin's Kingbird	Tyrannus vociferans	卡氏王霸鹟	
Western Kingbird	Tyrannus verticalis	西王霸鹟	
Scissor-tailed Flycatcher	Tyrannus forficatus	剪尾王霸鹟	Rare
Eastern Kingbird	Tyrannus tyrannus	东王霸鹟	Rare
Ash-throated Flycatcher	Myiarchus cinerascens	灰喉蝇霸鹟	
 
PASSERIFORMES: Laniidae

Loggerhead Shrike	Lanius ludovicianus	呆头伯劳	
 
PASSERIFORMES: Vireonidae

Bell's Vireo	Vireo bellii	贝氏莺雀	Rare
Grey Vireo	Vireo vicinior	灰莺雀	Rare
Plumbeous Vireo	Vireo plumbeus	铅色莺雀	Rare
Cassin's Vireo	Vireo cassinii	卡氏莺雀	
Hutton's Vireo	Vireo huttoni	郝氏莺雀	
Warbling Vireo	Vireo gilvus	歌莺雀	
Red-eyed Vireo	Vireo olivaceus	红眼莺雀	Rare
Yellow-green Vireo	Vireo flavoviridis	黄绿莺雀	Rare
 
PASSERIFORMES: Corvidae

Island Scrub Jay	Aphelocoma insularis	圣岛丛鸦	
Clark's Nutcracker	Nucifraga columbiana	北美星鸦	Rare
American Crow	Corvus brachyrhynchos	短嘴鸦	Rare
Northern Raven	Corvus corax	渡鸦	
 
PASSERIFORMES: Bombycillidae

Cedar Waxwing	Bombycilla cedrorum	雪松太平鸟	
 
PASSERIFORMES: Ptiliogonatidae

Phainopepla	Phainopepla nitens	黑丝鹟	
 
PASSERIFORMES: Alaudidae

Horned Lark	Eremophila alpestris	角百灵	
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	崖沙燕	
Tree Swallow	Tachycineta bicolor	双色树燕	
Violet-green Swallow	Tachycineta thalassina	紫绿树燕	
Purple Martin	Progne subis	紫崖燕	
Northern Rough-winged Swallow	Stelgidopteryx serripennis	中北美毛翅燕	
Barn Swallow	Hirundo rustica	家燕	
American Cliff Swallow	Petrochelidon pyrrhonota	美洲燕	
 
PASSERIFORMES: Aegithalidae

American Bushtit	Psaltriparus minimus	短嘴长尾山雀	
 
PASSERIFORMES: Regulidae

