ANSERIFORMES: Anatidae

House Swift	Apus nipalensis	小白腰雨燕	
 
CUCULIFORMES: Cuculidae

Short-toed Coucal	Centropus rectunguis	短趾鸦鹃	
Greater Coucal	Centropus sinensis	褐翅鸦鹃	
Lesser Coucal	Centropus bengalensis	小鸦鹃	
Bornean Ground Cuckoo	Carpococcyx radiceus	地鹃	
Raffles's Malkoha	Rhinortha chlorophaea	棕胸地鹃	
Red-billed Malkoha	Zanclostomus javanicus	红嘴地鹃	
Chestnut-breasted Malkoha	Phaenicophaeus curvirostris	栗胸地鹃	
Chestnut-bellied Malkoha	Phaenicophaeus sumatranus	棕腹地鹃	
Black-bellied Malkoha	Phaenicophaeus diardi	绿嘴地鹃	
Asian Koel	Eudynamys scolopaceus	噪鹃	
Violet Cuckoo	Chrysococcyx xanthorhynchus	紫金鹃	
Horsfield's Bronze Cuckoo	Chrysococcyx basalis	霍氏金鹃	
Little Bronze Cuckoo	Chrysococcyx minutillus	棕胸金鹃	
Banded Bay Cuckoo	Cacomantis sonneratii	栗斑杜鹃	
Plaintive Cuckoo	Cacomantis merulinus	八声杜鹃	
Rusty-breasted Cuckoo	Cacomantis sepulcralis	锈胸丛杜鹃	
Square-tailed Drongo-Cuckoo	Surniculus lugubris	乌鹃	
Moustached Hawk-Cuckoo	Hierococcyx vagans	小鹰鹃	
Dark Hawk-Cuckoo	Hierococcyx bocki	婆罗鹰鹃	
Malaysian Hawk-Cuckoo	Hierococcyx fugax	棕腹鹰鹃	
Indian Cuckoo	Cuculus micropterus	四声杜鹃	
Himalayan Cuckoo	Cuculus saturatus	中杜鹃	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	原鸽	Introduced species
Metallic Pigeon	Columba vitiensis	白喉林鸽	
Island Collared Dove	Streptopelia bitorquata	爪哇斑鸠	Rare/Accidental
Spotted Dove	Spilopelia chinensis	珠颈斑鸠	
Philippine Cuckoo-Dove	Macropygia tenuirostris	菲律宾鹃鸠	
Little Cuckoo-Dove	Macropygia ruficeps	小鹃鸠	
Common Emerald Dove	Chalcophaps indica	绿翅金鸠	
Zebra Dove	Geopelia striata	斑姬地鸠	
Nicobar Pigeon	Caloenas nicobarica	尼柯巴鸠	
Cinnamon-headed Green Pigeon	Treron fulvicollis	棕头绿鸠	
Little Green Pigeon	Treron olax	小绿鸠	
Pink-necked Green Pigeon	Treron vernans	红颈绿鸠	
Thick-billed Green Pigeon	Treron curvirostra	厚嘴绿鸠	
Large Green Pigeon	Treron capellei	大绿鸠	
Jambu Fruit Dove	Ptilinopus jambu	粉头果鸠	
Green Imperial Pigeon	Ducula aenea	绿皇鸠	
Mountain Imperial Pigeon	Ducula badia	山皇鸠	
Pied Imperial Pigeon	Ducula bicolor	斑皇鸠	
 
GRUIFORMES: Rallidae

Brown-cheeked Rail	Rallus indicus	普通秧鸡	Rare/Accidental
Slaty-breasted Rail	Lewinia striata	蓝胸秧鸡	
Common Moorhen	Gallinula chloropus	黑水鸡	
Eurasian Coot	Fulica atra	骨顶鸡	
Baillon's Crake	Zapornia pusilla	小田鸡	
Red-legged Crake	Rallina fasciata	红腿斑秧鸡	
White-browed Crake	Poliolimnas cinereus	白眉田鸡	
Watercock	Gallicrex cinerea	董鸡	
White-breasted Waterhen	Amaurornis phoenicurus	白胸苦恶鸟	
 
GRUIFORMES: Gruidae

Sarus Crane	Antigone antigone	赤颈鹤	
 
CHARADRIIFORMES: Burhinidae

Beach Stone-curlew	Esacus magnirostris	石鸻	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	黑翅长脚鹬	Rare/Accidental
Pied Stilt	Himantopus leucocephalus	澳洲长脚鹬	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	凤头麦鸡	
Grey-headed Lapwing	Vanellus cinereus	灰头麦鸡	
Pacific Golden Plover	Pluvialis fulva	金斑鸻	
Grey Plover	Pluvialis squatarola	灰斑鸻	
Common Ringed Plover	Charadrius hiaticula	剑鸻	
Long-billed Plover	Charadrius placidus	长嘴剑鸻	
Little Ringed Plover	Charadrius dubius	金眶鸻	
Kentish Plover	Charadrius alexandrinus	环颈鸻	
White-faced Plover	Charadrius dealbatus	白脸鸻	
Malaysian Plover	Charadrius peronii	马来鸻	
Lesser Sand Plover	Charadrius mongolus	蒙古沙鸻	
Greater Sand Plover	Charadrius leschenaultii	铁嘴沙鸻	
Oriental Plover	Charadrius veredus	东方鸻	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	彩鹬	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	中杓鹬（白腰）	
Little Curlew	Numenius minutus	小杓鹬	
Far Eastern Curlew	Numenius madagascariensis	大杓鹬	
Eurasian Curlew	Numenius arquata	白腰杓鹬	
Bar-tailed Godwit	Limosa lapponica	斑尾塍鹬	
Black-tailed Godwit	Limosa limosa	黑尾塍鹬	
Ruddy Turnstone	Arenaria interpres	翻石鹬	
Great Knot	Calidris tenuirostris	大滨鹬	
Red Knot	Calidris canutus	红腹滨鹬	
Ruff	Calidris pugnax	流苏鹬	
Broad-billed Sandpiper	Calidris falcinellus	阔嘴鹬	
Sharp-tailed Sandpiper	Calidris acuminata	尖尾滨鹬	
Curlew Sandpiper	Calidris ferruginea	弯嘴滨鹬	
Temminck's Stint	Calidris temminckii	青脚滨鹬	
Long-toed Stint	Calidris subminuta	长趾滨鹬	
Red-necked Stint	Calidris ruficollis	红颈滨鹬	
Sanderling	Calidris alba	三趾滨鹬	
Dunlin	Calidris alpina	黑腹滨鹬	Rare/Accidental
Little Stint	Calidris minuta	小滨鹬	
Asian Dowitcher	Limnodromus semipalmatus	半蹼鹬	
Long-billed Dowitcher	Limnodromus scolopaceus	长嘴鹬	Rare/Accidental
Eurasian Woodcock	Scolopax rusticola	丘鹬	
Pin-tailed Snipe	Gallinago stenura	针尾沙锥	
Swinhoe's Snipe	Gallinago megala	大沙锥	
Common Snipe	Gallinago gallinago	扇尾沙锥	
Terek Sandpiper	Xenus cinereus	翘嘴鹬	
Red-necked Phalarope	Phalaropus lobatus	红颈瓣蹼鹬	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	矶鹬	
Green Sandpiper	Tringa ochropus	白腰草鹬	
Grey-tailed Tattler	Tringa brevipes	灰尾漂鹬	
Common Redshank	Tringa totanus	红脚鹬	
Marsh Sandpiper	Tringa stagnatilis	泽鹬	
Wood Sandpiper	Tringa glareola	林鹬	
Spotted Redshank	Tringa erythropus	鹤鹬	Rare/Accidental
Common Greenshank	Tringa nebularia	青脚鹬	
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	普通燕鸻	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	白顶玄燕鸥	
Black-headed Gull	Chroicocephalus ridibundus	红嘴鸥	
Gull-billed Tern	Gelochelidon nilotica	鸥嘴噪鸥（广布）	
Caspian Tern	Hydroprogne caspia	红嘴巨鸥	
Greater Crested Tern	Thalasseus bergii	大凤头燕鸥	
Lesser Crested Tern	Thalasseus bengalensis	小凤头燕鸥	
Little Tern	Sternula albifrons	白额燕鸥	
Bridled Tern	Onychoprion anaethetus	褐翅燕鸥	
Roseate Tern	Sterna dougallii	粉红燕鸥	
Black-naped Tern	Sterna sumatrana	黑枕燕鸥	
Common Tern	Sterna hirundo	普通燕鸥	
Whiskered Tern	Chlidonias hybrida	须浮鸥	
White-winged Tern	Chlidonias leucopterus	白翅浮鸥	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	中贼鸥	
 
PROCELLARIIFORMES: Procellariidae

Streaked Shearwater	Calonectris leucomelas	白额鹱	Rare/Accidental
 
CICONIIFORMES: Ciconiidae

Storm's Stork	Ciconia stormi	黄脸鹳	
Lesser Adjutant	Leptoptilos javanicus	秃鹳	
 
SULIFORMES: Fregatidae

Christmas Frigatebird	Fregata andrewsi	白腹军舰鸟	
Great Frigatebird	Fregata minor	大军舰鸟	
Lesser Frigatebird	Fregata ariel	白斑军舰鸟	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	红脚鲣鸟	
Brown Booby	Sula leucogaster	褐鲣鸟	
 
SULIFORMES: Anhingidae

Oriental Darter	Anhinga melanogaster	黑腹蛇鹈	
 
SULIFORMES: Phalacrocoracidae

Great Cormorant	Phalacrocorax carbo	普通鸬鹚	
 
PELECANIFORMES: Threskiornithidae

Black-faced Spoonbill	Platalea minor	黑脸琵鹭	
 
PELECANIFORMES: Ardeidae

Eurasian Bittern	Botaurus stellaris	大麻鳽	
Yellow Bittern	Ixobrychus sinensis	黄苇鳽	
Von Schrenck's Bittern	Ixobrychus eurhythmus	紫背苇鳽	
Cinnamon Bittern	Ixobrychus cinnamomeus	栗苇鳽	
Black Bittern	Ixobrychus flavicollis	黑鳽	
Japanese Night Heron	Gorsachius goisagi	栗鳽	
Malayan Night Heron	Gorsachius melanolophus	黑冠鳽	
Black-crowned Night Heron	Nycticorax nycticorax	夜鹭	
Nankeen Night Heron	Nycticorax caledonicus	棕夜鹭	Rare/Accidental
Striated Heron	Butorides striata	绿鹭	
Chinese Pond Heron	Ardeola bacchus	池鹭	
Eastern Cattle Egret	Bubulcus coromandus	牛背鹭（亚洲）	
Grey Heron	Ardea cinerea	苍鹭	
Great-billed Heron	Ardea sumatrana	大嘴鹭	
Purple Heron	Ardea purpurea	草鹭	
Great Egret	Ardea alba	大白鹭	
Intermediate Egret	Ardea intermedia	中白鹭	
Little Egret	Egretta garzetta	小白鹭	
Pacific Reef Heron	Egretta sacra	岩鹭	
Chinese Egret	Egretta eulophotes	黄嘴白鹭	
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	鹗	
 
ACCIPITRIFORMES: Accipitridae

Black-winged Kite	Elanus caeruleus	黑翅鸢	
Crested Honey Buzzard	Pernis ptilorhynchus	凤头蜂鹰	
Jerdon's Baza	Aviceda jerdoni	褐冠鹃隼	
White-rumped Vulture	Gyps bengalensis	白背兀鹫	
Crested Serpent Eagle	Spilornis cheela	蛇雕	
Mountain Serpent Eagle	Spilornis kinabaluensis	山蛇雕	
Bat Hawk	Macheiramphus alcinus	食蝠鸢	
Changeable Hawk-Eagle	Nisaetus cirrhatus	凤头鹰雕	
Blyth's Hawk-Eagle	Nisaetus alboniger	马来鹰雕	
Wallace's Hawk-Eagle	Nisaetus nanus	华氏鹰雕	
Rufous-bellied Eagle	Lophotriorchis kienerii	棕腹隼雕	
Black Eagle	Ictinaetus malaiensis	林雕	
Crested Goshawk	Accipiter trivirgatus	凤头鹰	
Chinese Sparrowhawk	Accipiter soloensis	赤腹鹰	
Japanese Sparrowhawk	Accipiter gularis	日本松雀鹰	
Besra	Accipiter virgatus	松雀鹰	
Eurasian Sparrowhawk	Accipiter nisus	雀鹰	Rare/Accidental
Eastern Marsh Harrier	Circus spilonotus	白腹鹞	
Hen Harrier	Circus cyaneus	白尾鹞	
Pied Harrier	Circus melanoleucos	鹊鹞	
Black Kite	Milvus migrans	鸢	
Brahminy Kite	Haliastur indus	栗鸢	
White-bellied Sea Eagle	Haliaeetus leucogaster	白腹海雕	
Lesser Fish Eagle	Haliaeetus humilis	渔雕	
Grey-headed Fish Eagle	Haliaeetus ichthyaetus	灰头鱼雕	
Grey-faced Buzzard	Butastur indicus	灰脸鵟鹰	
 
STRIGIFORMES: Tytonidae

Oriental Bay Owl	Phodilus badius	栗鸮	
 
STRIGIFORMES: Strigidae

Brown Hawk-Owl	Ninox scutulata	鹰鸮	
Sunda Owlet	Taenioptynx sylvaticum	领鸺鹠 (sylvaticum/borneense)	
Reddish Scops Owl	Otus rufescens	棕角鸮	
Mountain Scops Owl	Otus spilocephalus	黄嘴角鸮	
Collared Scops Owl	Otus lettia	领角鸮	
Sunda Scops Owl	Otus lempiji	巽他领角鸮	
Short-eared Owl	Asio flammeus	短耳鸮	
Barred Eagle-Owl	Bubo sumatranus	马来雕鸮	
Buffy Fish Owl	Ketupa ketupu	马来渔鸮	
Brown Wood Owl	Strix leptogrammica	褐林鸮	
 
TROGONIFORMES: Trogonidae

Red-naped Trogon	Harpactes kasumba	红枕咬鹃	
Diard's Trogon	Harpactes diardii	紫顶咬鹃	
Cinnamon-rumped Trogon	Harpactes orrhophaeus	橙腰咬鹃	
Scarlet-rumped Trogon	Harpactes duvaucelii	红腰咬鹃	
Orange-breasted Trogon	Harpactes oreskios	橙胸咬鹃	
 
BUCEROTIFORMES: Upupidae

Eurasian Hoopoe	Upupa epops	戴胜	
 
BUCEROTIFORMES: Bucerotidae

White-crowned Hornbill	Berenicornis comatus	白冠犀鸟	
Rhinoceros Hornbill	Buceros rhinoceros	马来犀鸟	
Helmeted Hornbill	Rhinoplax vigil	盔犀鸟	
Oriental Pied Hornbill	Anthracoceros albirostris	冠斑犀鸟	
Black Hornbill	Anthracoceros malayanus	黑斑犀鸟	
Bushy-crested Hornbill	Anorrhinus galeritus	凤头犀鸟	
Wreathed Hornbill	Rhyticeros undulatus	花冠皱盔犀鸟	
Wrinkled Hornbill	Rhabdotorrhinus corrugatus	皱盔犀鸟	
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	三宝鸟	
 
CORACIIFORMES: Alcedinidae

Rufous-collared Kingfisher	Actenoides concretus	栗领翡翠	
Banded Kingfisher	Lacedo pulchella	横斑翠鸟	
Stork-billed Kingfisher	Pelargopsis capensis	鹳嘴翡翠	
Ruddy Kingfisher	Halcyon coromanda	赤翡翠	
Black-capped Kingfisher	Halcyon pileata	蓝翡翠	
Collared Kingfisher	Todiramphus chloris	白领翡翠	
Sacred Kingfisher	Todiramphus sanctus	白眉翡翠	
Blue-banded Kingfisher	Alcedo euryzona	蓝带翠鸟	
Blue-eared Kingfisher	Alcedo meninting	蓝耳翠鸟	
Common Kingfisher	Alcedo atthis	普通翠鸟	
Oriental Dwarf Kingfisher	Ceyx erithaca	三趾翠鸟	
 
CORACIIFORMES: Meropidae

Red-bearded Bee-eater	Nyctyornis amictus	赤须夜蜂虎	
Blue-tailed Bee-eater	Merops philippinus	栗喉蜂虎	
Blue-throated Bee-eater	Merops viridis	蓝喉蜂虎	
 
PICIFORMES: Megalaimidae

Golden-whiskered Barbet	Psilopogon chrysopogon	金须拟鴷	
Red-crowned Barbet	Psilopogon rafflesii	花彩拟鴷	
Red-throated Barbet	Psilopogon mystacophanos	丽色拟鴷	
Yellow-crowned Barbet	Psilopogon henricii	黄顶拟鴷	
Blue-eared Barbet	Psilopogon duvaucelii	蓝耳拟啄木鸟	
Brown Barbet	Caloramphus fuliginosus	褐拟	
 
PICIFORMES: Indicatoridae

Malaysian Honeyguide	Indicator archipelagicus	马来响蜜鴷	
 
PICIFORMES: Picidae

Rufous Piculet	Sasia abnormis	棕啄木鸟	
Grey-and-buff Woodpecker	Hemicircus concretus	灰黄啄木鸟	
Grey-capped Pygmy Woodpecker	Yungipicus canicapillus	星头啄木鸟	Rare/Accidental
Sunda Pygmy Woodpecker	Yungipicus moluccensis	巽他啄木鸟	
White-bellied Woodpecker	Dryocopus javensis	白腹黑啄木鸟	
Banded Woodpecker	Chrysophlegma miniaceum	镶红绿啄木鸟	
Checker-throated Woodpecker	Chrysophlegma mentale	斑喉绿啄木鸟	
Crimson-winged Woodpecker	Picus puniceus	红翅绿啄木鸟	
Common Flameback	Dinopium javanense	金背三趾啄木鸟	
Olive-backed Woodpecker	Gecinulus rafflesii	绿背三趾啄木鸟	
Maroon Woodpecker	Blythipicus rubiginosus	小栗啄木鸟	
Orange-backed Woodpecker	Reinwardtipicus validus	橙背啄木鸟	
Rufous Woodpecker	Micropternus brachyurus	栗啄木鸟	
Buff-rumped Woodpecker	Meiglyptes tristis	黄腰斑啄木鸟	
Buff-necked Woodpecker	Meiglyptes tukki	黄颈斑啄木鸟	
Great Slaty Woodpecker	Mulleripicus pulverulentus	大灰啄木鸟	
 
FALCONIFORMES: Falconidae

Black-thighed Falconet	Microhierax fringillarius	黑腿小隼	
Common Kestrel	Falco tinnunculus	红隼	
Oriental Hobby	Falco severus	猛隼	
Peregrine Falcon	Falco peregrinus	游隼	
 
PSITTACIFORMES: Psittaculidae

Blue-rumped Parrot	Psittinus cyanurus	蓝腰短尾鹦鹉	
Long-tailed Parakeet	Psittacula longicauda	长尾鹦鹉	
Blue-crowned Hanging Parrot	Loriculus galgulus	蓝顶短尾鹦鹉	
 
PASSERIFORMES: Eurylaimidae

Long-tailed Broadbill	Psarisomus dalhousiae	长尾阔嘴鸟	
Dusky Broadbill	Corydon sumatranus	暗阔嘴鸟	
Black-and-red Broadbill	Cymbirhynchus macrorhynchos	黑红阔嘴鸟	
Banded Broadbill	Eurylaimus javanicus	斑阔嘴鸟	
Black-and-yellow Broadbill	Eurylaimus ochromalus	黑黄阔嘴鸟	
 
PASSERIFORMES: Calyptomenidae

Green Broadbill	Calyptomena viridis	绿阔嘴鸟	
 
PASSERIFORMES: Pittidae

Giant Pitta	Hydrornis caeruleus	大蓝八色鸫	
Bornean Banded Pitta	Hydrornis schwaneri	婆罗洲蓝尾八色鸫	
Blue-headed Pitta	Hydrornis baudii	蓝头八色鸫	
Garnet Pitta	Erythropitta granatina	榴红八色鸫	
Blue-banded Pitta	Erythropitta arquata	蓝斑八色鸫	Endemic (country/region)
Blue-winged Pitta	Pitta moluccensis	蓝翅八色鸫	
Hooded Pitta	Pitta sordida	绿胸八色鸫	
Fairy Pitta	Pitta nympha	仙八色鸫	
 
PASSERIFORMES: Acanthizidae

Golden-bellied Gerygone	Gerygone sulphurea	黄胸噪刺莺	
 
PASSERIFORMES: Vangidae

Bar-winged Flycatcher-shrike	Hemipus picatus	褐背鹟鵙	
Black-winged Flycatcher-shrike	Hemipus hirundinaceus	黑翅鹟鵙	
Large Woodshrike	Tephrodornis virgatus	钩嘴林鵙	
Rufous-winged Philentoma	Philentoma pyrhoptera	棕翅王鵙	
Maroon-breasted Philentoma	Philentoma velata	栗胸王鵙	
 
PASSERIFORMES: Pityriasidae

Bornean Bristlehead	Pityriasis gymnocephala	棘头鵙	
 
PASSERIFORMES: Artamidae

White-breasted Woodswallow	Artamus leucorynchus	白胸燕鵙	
 
PASSERIFORMES: Aegithinidae

Common Iora	Aegithina tiphia	黑翅雀鹎	
Green Iora	Aegithina viridissima	绿雀鹎	
 
PASSERIFORMES: Campephagidae

Fiery Minivet	Pericrocotus igneus	火红山椒鸟	
Grey-chinned Minivet	Pericrocotus solaris	灰喉山椒鸟	
Scarlet Minivet	Pericrocotus speciosus	赤红山椒鸟	
Bar-bellied Cuckooshrike	Coracina striata	斑腹鹃鵙	
Pied Triller	Lalage nigra	黑鸣鹃鵙	
Lesser Cuckooshrike	Lalage fimbriata	缨鹃鵙	
 
PASSERIFORMES: Pachycephalidae

Mangrove Whistler	Pachycephala cinerea	红树啸鹟	
Bornean Whistler	Pachycephala hypoxantha	加里啸鹟	Endemic (country/region)
 
PASSERIFORMES: Laniidae

Tiger Shrike	Lanius tigrinus	虎纹伯劳	
Brown Shrike	Lanius cristatus	红尾伯劳	
 
PASSERIFORMES: Vireonidae

White-bellied Erpornis	Erpornis zantholeuca	白腹凤鹛	
Blyth's Shrike-babbler	Pteruthius aeralatus	红翅鵙鹛	
 
PASSERIFORMES: Oriolidae

Black-and-crimson Oriole	Oriolus cruentus	绯胸黄鹂	
Dark-throated Oriole	Oriolus xanthonotus	黑喉黄鹂	
Black-naped Oriole	Oriolus chinensis	黑枕黄鹂	
 
PASSERIFORMES: Dicruridae

Bronzed Drongo	Dicrurus aeneus	古铜色卷尾	
Crow-billed Drongo	Dicrurus annectens	鸦嘴卷尾	
Greater Racket-tailed Drongo	Dicrurus paradiseus	大盘尾	
Hair-crested Drongo	Dicrurus hottentottus	发冠卷尾	
Balicassiao	Dicrurus balicassius	白胁卷尾	
Ashy Drongo	Dicrurus leucophaeus	灰卷尾	
 
PASSERIFORMES: Rhipiduridae

White-throated Fantail	Rhipidura albicollis	白喉扇尾鹟	
Malaysian Pied Fantail	Rhipidura javanica	斑扇尾鹟	
Spotted Fantail	Rhipidura perlata	珠点扇尾鹟	
 
PASSERIFORMES: Monarchidae

Black-naped Monarch	Hypothymis azurea	黑枕王鹟	
Blyth's Paradise Flycatcher	Terpsiphone affinis	中南寿带	
 
PASSERIFORMES: Corvidae

Crested Jay	Platylophus galericulatus	冠鸦	
Black Magpie	Platysmurus leucopterus	白翅鹊	
Common Green Magpie	Cissa chinensis	蓝绿鹊	
Bornean Green Magpie	Cissa jefferyi	婆罗洲绿鹊	
Slender-billed Crow	Corvus enca	稚鸦	
 
PASSERIFORMES: Eupetidae

Rail-babbler	Eupetes macrocerus	白眉长颈鸫	
 
PASSERIFORMES: Stenostiridae

Grey-headed Canary-flycatcher	Culicicapa ceylonensis	方尾鹟	
 
PASSERIFORMES: Paridae

Cinereous Tit	Parus cinereus	苍背山雀	
 
PASSERIFORMES: Pycnonotidae

Hairy-backed Bulbul	Tricholestes criniger	丝背鹎	
Hook-billed Bulbul	Setornis criniger	钩嘴鹎	
Yellow-bellied Bulbul	Alophoixus phaeocephalus	灰头冠鹎	
Grey-cheeked Bulbul	Alophoixus tephrogenys	灰颊冠鹎	
Finsch's Bulbul	Iole finschii	芬氏冠鹎	
Charlotte's Bulbul	Iole charlottae	黄臀灰胸鹎	
Streaked Bulbul	Ixos malaccensis	纹羽鹎	
Puff-backed Bulbul	Euptilotus eutilotus	凤头褐鹎	
Black-and-white Bulbul	Microtarsus melanoleucos	黑白鹎	
Black-headed Bulbul	Brachypodius melanocephalos	黑头鹎	
Spectacled Bulbul	Ixodia erythropthalmos	小褐鹎	
Grey-bellied Bulbul	Ixodia cyaniventris	灰腹鹎	
Scaly-breasted Bulbul	Ixodia squamata	鳞胸鹎	
Bornean Bulbul	Rubigula montis	婆罗洲鹎	
Cream-vented Bulbul	Pycnonotus simplex	白眼褐鹎	
Olive-winged Bulbul	Pycnonotus plumosus	橄榄褐鹎	
Asian Red-eyed Bulbul	Pycnonotus brunneus	红眼褐鹎	
Straw-headed Bulbul	Pycnonotus zeylanicus	黄冠鹎	
Cream-eyed Bulbul	Pycnonotus pseudosimplex	白眼鹎	
Yellow-vented Bulbul	Pycnonotus goiavier	白眉黄臀鹎	
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	崖沙燕	
Barn Swallow	Hirundo rustica	家燕	
Pacific Swallow	Hirundo tahitica	洋斑燕	
Red-rumped Swallow	Cecropis daurica	金腰燕（欧亚）	
Striated Swallow	Cecropis striolata	斑腰燕	
 
PASSERIFORMES: Cettiidae

Yellow-bellied Warbler	Abroscopus superciliaris	黄腹鹟莺	
Mountain Tailorbird	Phyllergates cucullatus	金头缝叶莺	
Sunda Bush Warbler	Horornis vulcanius	马氏树莺	
 
PASSERIFORMES: Phylloscopidae

Japanese Leaf Warbler	Phylloscopus xanthodryas	日本柳莺	
Kamchatka Leaf Warbler	Phylloscopus examinandus	堪察加柳莺	
Arctic Warbler	Phylloscopus borealis	极北柳莺	
Yellow-breasted Warbler	Phylloscopus montis	黄胸鹟莺	
Mountain Leaf Warbler	Phylloscopus trivirgatus	山柳莺	
 
PASSERIFORMES: Acrocephalidae

Oriental Reed Warbler	Acrocephalus orientalis	东方大苇莺	
 
PASSERIFORMES: Locustellidae

Pallas's Grasshopper Warbler	Helopsaltes certhiola	小蝗莺	
Middendorff's Grasshopper Warbler	Helopsaltes ochotensis	北蝗莺	
Lanceolated Warbler	Locustella lanceolata	矛斑蝗莺	
Striated Grassbird	Megalurus palustris	沼泽大尾莺	
 
PASSERIFORMES: Cisticolidae

Yellow-bellied Prinia	Prinia flaviventris	黄腹山鹪莺	
Dark-necked Tailorbird	Orthotomus atrogularis	黑喉缝叶莺	
Rufous-tailed Tailorbird	Orthotomus sericeus	红头缝叶莺	
Ashy Tailorbird	Orthotomus ruficeps	灰缝叶莺	
 
PASSERIFORMES: Zosteropidae

Hume's White-eye	Zosterops auriventer	休氏绣眼鸟	
 
PASSERIFORMES: Timaliidae

Bold-striped Tit-Babbler	Mixornis bornensis	宽纹胸巨鹛	
Fluffy-backed Tit-Babbler	Macronus ptilosus	绒背纹胸鹛	
Chestnut-winged Babbler	Cyanoderma erythropterum	红翅穗鹛	
Rufous-fronted Babbler	Cyanoderma rufifrons	红额穗鹛	
Chestnut-backed Scimitar Babbler	Pomatorhinus montanus	栗背钩嘴鹛	
Black-throated Babbler	Stachyris nigricollis	黑喉穗鹛	
Chestnut-rumped Babbler	Stachyris maculata	红腰穗鹛	
Grey-throated Babbler	Stachyris nigriceps	黑头穗鹛	
Grey-headed Babbler	Stachyris poliocephala	灰头穗鹛	
 
PASSERIFORMES: Pellorneidae

Sooty-capped Babbler	Malacopteron affine	纯色树鹛	
Grey-breasted Babbler	Malacopteron albogulare	灰头树鹛	
