Aythya nyroca,1,单型种(全);-----------------------------------------------------;2020-7-29 西藏日喀则贡觉林卡;2021-5-15 宁夏石嘴山星海湖
Aythya valisineria,1,单型种(全);-----------------------------------------------------;2022-6-18 多伦多Thompson公园
Polysticta stelleri,0,
Somateria fischeri,0,
Somateria mollissima,0,
Somateria spectabilis,1,单型种(全);-----------------------------------------------------;2022-6-25 多伦多Thompson公园
Histrionicus histrionicus,1,单型种(全);-----------------------------------------------------;2022-11-12 多伦多Ashbridge's Bay公园
Camptorhynchus labradorius,1,单型种(全);-----------------------------------------------------;2022-6-26 皇家安大略博物馆
Melanitta americana,1,单型种(全);-----------------------------------------------------;2022-10-29 多伦多Thompson公园
Melanitta deglandi,1,单型种(全);-----------------------------------------------------;2022-10-17 多伦多Thompson公园
Melanitta fusca,0,
Melanitta nigra,0,
Melanitta perspicillata,1,单型种(全);-----------------------------------------------------;2022-10-17 多伦多Thompson公园
Melanitta stejnegeri,1,单型种(全);-----------------------------------------------------;2022-2-12 厦门东埭桥翔沿海
Clangula hyemalis,1,单型种(全);-----------------------------------------------------;2022-10-29 多伦多Thompson公园
Bucephala albeola,1,单型种(全);-----------------------------------------------------;2022-7-29 多伦多Colonel Samuel Smith Park
Bucephala clangula,1,2个亚种;-----------------------------------------------------;2022-7-29 多伦多Colonel Samuel Smith Park(americana);;
Bucephala islandica,0,
Mergellus albellus,0,
Lophodytes cucullatus,1,单型种(全);-----------------------------------------------------;2022-6-11 多伦多High park
Mergus australis,0,
Mergus merganser,1,3个亚种;-----------------------------------------------------;2022-6-11 多伦多High park(americanus)
Mergus octosetaceus,0,
Mergus serrator,1,单型种(全);-----------------------------------------------------;2022-10-29 多伦多Thompson公园
Mergus squamatus,0,
Heteronetta atricapilla,0,
Nomonyx dominicus,0,
Oxyura australis,0,
Oxyura ferruginea,0,
Oxyura jamaicensis,1,单型种(全);-----------------------------------------------------;2022-10-22 多伦多Thompson公园
Oxyura leucocephala,0,
Oxyura maccoa,0,
Oxyura vittata,0,
Biziura lobata,0,
Alectura lathami,0,
Aepypodius arfakianus,0,
Aepypodius bruijnii,0,
Talegalla cuvieri,0,
Talegalla fuscirostris,0,
Talegalla jobiensis,0,
Leipoa ocellata,0,
Macrocephalon maleo,0,
Eulipoa wallacei,0,
Megapodius bernsteinii,0,
Megapodius cumingii,0,
Megapodius decollatus,0,
Megapodius eremita,0,
Megapodius freycinet,0,
Megapodius geelvinkianus,0,
Megapodius laperouse,0,
Megapodius layardi,0,
Megapodius nicobariensis,0,
Megapodius pritchardii,0,
Megapodius reinwardt,0,
Megapodius tenimberensis,0,
Ortalis araucuan,0,
Ortalis canicollis,0,
