082	0247	白尾鹞	Circus	cyaneus	Hen	Harrier	LC	二级	C
083	0249	鹊鹞	Circus	melanoleucos	Pied	Harrier	LC	二级	C
084	0251	黑鸢	Milvus	migrans	Black	Kite	LC	二级	A
085	0253	白腹海雕	Haliaeetus	leucogaster	White-bellied	Sea	Eagle	LC	一级	D
086	0260	灰脸鵟鹰	Butastur	indicus	Grey-faced	Buzzard	LC	二级	C
087	0263	普通鵟	Buteo	japonicus	Eastern	Buzzard	LC	二级	A
鹤形目	秧鸡科	GRUIFORMES	Rallidae
088	0271	普通秧鸡	Rallus	indicus	Brown-cheeked	Rail	LC	-	B
089	0273	灰胸秧鸡	Lewinia	striata	Slaty-breasted	Rail	LC	-	C
090	0275	黑水鸡	Gallinula	chloropus	Common	Moorhen	LC	-	A
091	0276	白骨顶	Fulica	atra	Eurasian	Coot	LC	-	A
092	0278	紫水鸡	Porphyrio poliocephalus	Grey-headed Swamphen	NR	-	B
093	0280	斑胁田鸡	Zapornia	paykullii	Band-bellied	Crake	NT	二级	C
094	0282	红脚田鸡	Zapornia	akool	Brown	Crake	LC	-	B
095	0283	小田鸡	Zapornia	pusilla	Baillon's	Crake	LC	-	C
096	0285	红胸田鸡	Zapornia	fusca	Ruddy-breasted	Crake	LC	-	C
097	0289	董鸡	Gallicrex	cinerea	Watercock	LC	-	C
098	0290	白胸苦恶鸟	Amaurornis	phoenicurus	White-breasted	Waterhen	LC	-	A
鸻形目	蛎鹬科	CHARADRIIFORMES	Haematopodidae
099	0305	蛎鹬	Haematopus	ostralegus	Eurasian	Oystercatcher	NT	-	A
鸻形目	反嘴鹬科	CHARADRIIFORMES	Recurvirostridae
100	0307	黑翅长脚鹬	Himantopus	himantopus	Black-winged	Stilt	LC	-	A
101	0308	反嘴鹬	Recurvirostra	avosetta	Pied	Avocet	LC	-	A
鸻形目	鸻科	CHARADRIIFORMES	Charadriidae
102	0309	凤头麦鸡	Vanellus	vanellus	Northern	Lapwing	NT	-	B
103	0311	灰头麦鸡	Vanellus	cinereus	Grey-headed	Lapwing	LC	-	B
104	0316	金斑鸻	Pluvialis	fulva	Pacific	Golden	Plover	LC	-	A
105	0318	灰斑鸻	Pluvialis	squatarola	Grey	Plover	LC	-	A
106	0321	金眶鸻	Charadrius	dubius	Little	Ringed	Plover	LC	-	A
107	0322	环颈鸻	Charadrius	alexandrinus	Kentish	Plover	LC	-	A
108	0323	白脸鸻	Charadrius	dealbatus	White-faced	Plover	DD	-	A
