
 
GALLIFORMES: Odontophoridae

Fairy Prion	Pachyptila turtur	仙锯鹱	
Fulmar Prion	Pachyptila crassirostris	厚嘴锯鹱	
Kerguelen Petrel	Aphrodroma brevirostris	短嘴圆尾鹱	Rare
White-headed Petrel	Pterodroma lessonii	白头圆尾鹱	Rare
Grey-faced Petrel	Pterodroma gouldi	灰脸圆尾鹱	Rare
Magenta Petrel	Pterodroma magentae	红圆尾鹱	Endemic
Soft-plumaged Petrel	Pterodroma mollis	柔羽圆尾鹱	Rare
Juan Fernandez Petrel	Pterodroma externa	百颈圆尾鹱	Rare
Kermadec Petrel	Pterodroma neglecta	克岛圆尾鹱	Rare
Mottled Petrel	Pterodroma inexpectata	鳞斑圆尾鹱	Rare
Black-winged Petrel	Pterodroma nigripennis	黑翅圆尾鹱	
Chatham Petrel	Pterodroma axillaris	查岛圆尾鹱	Endemic
Cook's Petrel	Pterodroma cookii	黑脚圆尾鹱	Endemic
Pycroft's Petrel	Pterodroma pycrofti	新西兰圆尾鹱	仅在当地繁育的
Grey Petrel	Procellaria cinerea	灰风鹱	Rare
White-chinned Petrel	Procellaria aequinoctialis	白颏风鹱	Rare
Black Petrel	Procellaria parkinsoni	黑风鹱	Rare
Westland Petrel	Procellaria westlandica	大黑风鹱	Rare
Buller's Shearwater	Ardenna bulleri	灰背鹱	
Sooty Shearwater	Ardenna grisea	灰鹱	
Short-tailed Shearwater	Ardenna tenuirostris	短尾鹱	Rare
Flesh-footed Shearwater	Ardenna carneipes	淡足鹱	Rare
Great Shearwater	Ardenna gravis	大鹱	Rare
Fluttering Shearwater	Puffinus gavia	棕嘴鹱	Rare
Little Shearwater	Puffinus assimilis	小鹱	
Subantarctic Shearwater	Puffinus elegans	亚南极鹱	
South Georgia Diving Petrel	Pelecanoides georgicus	南乔治亚鹈燕	
Common Diving Petrel	Pelecanoides urinatrix	鹈燕	
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	白斑军舰鸟	Rare
 
SULIFORMES: Sulidae

Australasian Gannet	Morus serrator	澳洲鲣鸟	Rare
 
SULIFORMES: Phalacrocoracidae

Little Pied Cormorant	Microcarbo melanoleucos	小斑鸬鹚	Rare
Spotted Shag	Phalacrocorax punctatus	点斑鸬鹚	Endemic
Pitt Shag	Phalacrocorax featherstoni	皮岛鸬鹚	Endemic
Little Black Cormorant	Phalacrocorax sulcirostris	小黑鸬鹚	
Great Cormorant	Phalacrocorax carbo	普通鸬鹚	
Chatham Shag	Leucocarbo onslowi	查岛鸬鹚	Endemic
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	彩鹮	Rare
Royal Spoonbill	Platalea regia	澳洲琵鹭	Rare
 
PELECANIFORMES: Ardeidae

Australasian Bittern	Botaurus poiciloptilus	褐麻鳽	
New Zealand Bittern	Ixobrychus novaezelandiae	分布于新西兰	Endemic
Eastern Cattle Egret	Bubulcus coromandus	*牛背鹭	Rare
Great Egret	Ardea alba	大白鹭	
White-faced Heron	Egretta novaehollandiae	白脸鹭	
Pacific Reef Heron	Egretta sacra	岩鹭	Rare
 
ACCIPITRIFORMES: Accipitridae

Swamp Harrier	Circus approximans	沼泽鹞	
 
STRIGIFORMES: Strigidae

Morepork	Ninox novaeseelandiae	斑布克鹰鸮	
 
CORACIIFORMES: Alcedinidae

Sacred Kingfisher	Todiramphus sanctus	白眉翡翠	Rare
 
FALCONIFORMES: Falconidae

New Zealand Falcon	Falco novaeseelandiae	新西兰隼	Endemic
 
PSITTACIFORMES: Strigopidae

New Zealand Kaka	Nestor meridionalis	白顶啄羊鹦鹉	消失
 
PSITTACIFORMES: Psittaculidae

Chatham Parakeet	Cyanoramphus forbesi	查岛鹦鹉	Endemic
Red-crowned Parakeet	Cyanoramphus novaezelandiae	红额鹦鹉	Endemic
 
PASSERIFORMES: Meliphagidae

Tui	Prosthemadera novaeseelandiae	簇胸吸蜜鸟	Endemic
