
 
APTERYGIFORMES: Apterygidae

Northern Fulmar	Fulmarus glacialis	暴风鹱	Rare
Southern Fulmar	Fulmarus glacialoides	银灰暴风鹱	
Antarctic Petrel	Thalassoica antarctica	南极鹱	Rare
Cape Petrel	Daption capense	花斑鹱	
Snow Petrel	Pagodroma nivea	雪鹱	Rare
Blue Petrel	Halobaena caerulea	蓝鹱	
Broad-billed Prion	Pachyptila vittata	阔嘴锯鹱	
Salvin's Prion	Pachyptila salvini	小锯鹱	
Antarctic Prion	Pachyptila desolata	鸽锯鹱	
Slender-billed Prion	Pachyptila belcheri	细嘴锯鹱	
Fairy Prion	Pachyptila turtur	仙锯鹱	
Fulmar Prion	Pachyptila crassirostris	厚嘴锯鹱	
Kerguelen Petrel	Aphrodroma brevirostris	短嘴圆尾鹱	
White-headed Petrel	Pterodroma lessonii	白头圆尾鹱	
Grey-faced Petrel	Pterodroma gouldi	灰脸圆尾鹱	仅在当地繁育的
Providence Petrel	Pterodroma solandri	棕头圆尾鹱	Rare
Magenta Petrel	Pterodroma magentae	红圆尾鹱	仅在当地繁育的
Soft-plumaged Petrel	Pterodroma mollis	柔羽圆尾鹱	
Juan Fernandez Petrel	Pterodroma externa	百颈圆尾鹱	Rare
Kermadec Petrel	Pterodroma neglecta	克岛圆尾鹱	
Herald Petrel	Pterodroma heraldica	信使圆尾鹱	Rare
Phoenix Petrel	Pterodroma alba	白腹圆尾鹱	Rare
Mottled Petrel	Pterodroma inexpectata	鳞斑圆尾鹱	
White-necked Petrel	Pterodroma cervicalis	白领圆尾鹱	
Black-winged Petrel	Pterodroma nigripennis	黑翅圆尾鹱	
Chatham Petrel	Pterodroma axillaris	查岛圆尾鹱	仅在当地繁育的
Gould's Petrel	Pterodroma leucoptera	白翅圆尾鹱	Rare
Collared Petrel	Pterodroma brevipes	领圆尾鹱	Rare
Cook's Petrel	Pterodroma cookii	黑脚圆尾鹱	仅在当地繁育的
Stejneger's Petrel	Pterodroma longirostris	长嘴圆尾鹱	Rare
Pycroft's Petrel	Pterodroma pycrofti	新西兰圆尾鹱	仅在当地繁育的
Tahiti Petrel	Pseudobulweria rostrata	钩嘴圆尾鹱	Rare
Grey Petrel	Procellaria cinerea	灰风鹱	
White-chinned Petrel	Procellaria aequinoctialis	白颏风鹱	
Black Petrel	Procellaria parkinsoni	黑风鹱	仅在当地繁育的
Westland Petrel	Procellaria westlandica	大黑风鹱	仅在当地繁育的
Streaked Shearwater	Calonectris leucomelas	白额鹱	Rare
Cory's Shearwater	Calonectris borealis	猛鹱	Rare
Wedge-tailed Shearwater	Ardenna pacifica	曳尾鹱	
Buller's Shearwater	Ardenna bulleri	灰背鹱	仅在当地繁育的
Sooty Shearwater	Ardenna grisea	灰鹱	
Short-tailed Shearwater	Ardenna tenuirostris	短尾鹱	
Pink-footed Shearwater	Ardenna creatopus	粉脚鹱	Rare
Flesh-footed Shearwater	Ardenna carneipes	淡足鹱	
Great Shearwater	Ardenna gravis	大鹱	Rare
Christmas Shearwater	Puffinus nativitatis	黑鹱	Rare
Manx Shearwater	Puffinus puffinus	大西洋鹱	Rare
Newell's Shearwater	Puffinus newelli	夏威夷鹱	Rare
Fluttering Shearwater	Puffinus gavia	棕嘴鹱	
Hutton's Shearwater	Puffinus huttoni	澳洲鹱	仅在当地繁育的
Little Shearwater	Puffinus assimilis	小鹱	
Subantarctic Shearwater	Puffinus elegans	亚南极鹱	
South Georgia Diving Petrel	Pelecanoides georgicus	南乔治亚鹈燕	
Common Diving Petrel	Pelecanoides urinatrix	鹈燕	
Bulwer's Petrel	Bulweria bulwerii	褐燕鹱	Rare
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	黑腹军舰鸟	Rare
Lesser Frigatebird	Fregata ariel	白斑军舰鸟	Rare
 
SULIFORMES: Sulidae

Cape Gannet	Morus capensis	南非鲣	Rare
Australasian Gannet	Morus serrator	澳洲鲣鸟	
Masked Booby	Sula dactylatra	蓝脸鲣鸟	
Red-footed Booby	Sula sula	红脚鲣鸟	Rare
Brown Booby	Sula leucogaster	褐鲣鸟	
 
SULIFORMES: Phalacrocoracidae

Little Pied Cormorant	Microcarbo melanoleucos	小斑鸬鹚	
Spotted Shag	Phalacrocorax punctatus	点斑鸬鹚	Endemic
Pitt Shag	Phalacrocorax featherstoni	皮岛鸬鹚	Endemic
Little Black Cormorant	Phalacrocorax sulcirostris	小黑鸬鹚	
Australian Pied Cormorant	Phalacrocorax varius	斑鸬鹚	
Great Cormorant	Phalacrocorax carbo	普通鸬鹚	
Macquarie Shag	Leucocarbo purpurascens	麦岛鸬鹚	Rare
New Zealand King Shag	Leucocarbo carunculatus	毛脸鸬鹚	Endemic
Otago Shag	Leucocarbo chalconotus	铜鸬鹚	Endemic
Foveaux Shag	Leucocarbo stewarti	史都华岛鸬鹚	Endemic
Chatham Shag	Leucocarbo onslowi	查岛鸬鹚	Endemic
