中文名	拉丁名	英文名	记录次数	定点记	随手记
黑冠鹃隼	Aviceda leuphotes	Black Baza	1	1	0
褐林鸮	Strix leptogrammica	Brown Wood Owl	1	1	0
黄腿渔鸮	Ketupa flavipes	Tawny Fish Owl	1	1	0
鹗	Pandion haliaetus	Osprey	19	19	0
凤头蜂鹰	Pernis ptilorhynchus	Oriental Honey-buzzard	1	1	0
高山兀鹫	Gyps himalayensis	Himalayan Griffon	1	0	1
林雕	Ictinaetus malaiensis	Black Eagle	19	18	1
秃鹫	Aegypius monachus	Cinereous Vulture	1	1	0
鹰雕	Nisaetus nipalensis	Mountain Hawk Eagle	1	1	0
白肩雕	Aquila heliaca	Imperial Eagle	3	3	0
乌雕	Clanga clanga	Greater Spotted Eagle	2	2	0
草原雕	Aquila nipalensis	Steppe Eagle	1	0	1
褐耳鹰	Accipiter badius	Shikra	2	2	0
金雕	Aquila chrysaetos	Golden Eagle	2	1	1
凤头鹰	Accipiter trivirgatus	Crested Goshawk	5	5	0
蛇雕	Spilornis cheela	Crested Serpent Eagle	16	16	0
松雀鹰	Accipiter virgatus	Besra	5	5	0
日本松雀鹰	Accipiter gularis	Japanese Sparrow Hawk	2	2	0
苍鹰	Accipiter gentilis	Northern Goshawk	1	1	0
雀鹰	Accipiter nisus	Eurasian Sparrow Hawk	6	6	0
鹊鹞	Circus melanoleucos	Pied Harrier	2	2	0
白腹鹞	Circus spilonotus	Eastern Marsh Harrier	7	6	1
白尾鹞	Circus cyaneus	Hen Harrier	1	1	0
赤腹鹰	Accipiter soloensis	Chinese Goshawk	2	2	0
白尾海雕	Haliaeetus albicilla	White-tailed Sea Eagle	3	3	0
黑鸢	Milvus migrans	Black Kite	38	36	0
毛脚鵟	Buteo lagopus	Rough-legged Buzzard	2	2	0
灰脸鵟鹰	Butastur indicus	Grey-faced Buzzard	2	2	0
大鵟	Buteo hemilasius	Upland Buzzard	7	6	1
普通鵟	Buteo japonicus	Eastern Buzzard	13	13	0
红头咬鹃	Harpactes erythrocephalus	Red-headed Trogon	2	2	0
戴胜	Upupa epops	Eurasian Hoopoe	10	9	0
蓝须夜蜂虎	Nyctyornis athertoni	Blue-bearded Bee Eater	1	1	0
白胸翡翠	Halcyon smyrnensis	White-throated Kingfisher	18	18	0
