
Dendrocygna javanica	栗树鸭	Lesser Whistling Duck
Cisticola exilis	金头扇尾莺	Golden-headed Cisticola
Prinia crinigera	喜山山鹪莺	Striated Prinia
Prinia striata	山鹪莺	Striped Prinia
Prinia atrogularis	黑胸山鹪莺	Black-throated Prinia
Prinia superciliaris	黑喉山鹪莺	Hill Prinia
Prinia rufescens	暗冕山鹪莺	Rufescent Prinia
Prinia hodgsonii	灰胸山鹪莺	Grey-breasted Prinia
Prinia flaviventris	黄腹山鹪莺	Yellow-bellied Prinia
Prinia inornata	纯色山鹪莺	Plain Prinia
Orthotomus sutorius	长尾缝叶莺	Common Tailorbird
Orthotomus atrogularis	黑喉缝叶莺	Dark-necked Tailorbird

Timalia pileata	红顶鹛	Chestnut-capped Babbler
Mixornis gularis	纹胸巨鹛	Striped Tit-Babbler
Cyanoderma chrysaeum	金头穗鹛	Golden Babbler
Cyanoderma pyrrhops	黑颏穗鹛	Black-chinned Babbler
Cyanoderma ruficeps	红头穗鹛	Rufous-capped Babbler
Cyanoderma ambiguum	黄喉穗鹛	Buff-chested Babbler
Spelaeornis troglodytoides	斑翅鹩鹛	Bar-winged Wren-Babbler
Spelaeornis kinneari	淡喉鹩鹛	Pale-throated Wren-Babbler
Spelaeornis reptatus	长尾鹩鹛	Long-tailed Wren-Babbler
Pomatorhinus ferruginosus	红嘴钩嘴鹛	Coral-billed Scimitar Babbler
Pomatorhinus ochraceiceps	棕头钩嘴鹛	Red-billed Scimitar Babbler
Pomatorhinus superciliaris	剑嘴鹛	Slender-billed Scimitar Babbler
Pomatorhinus ruficollis	棕颈钩嘴鹛	Streak-breasted Scimitar Babbler
Pomatorhinus musicus	台湾棕颈钩嘴鹛	Taiwan Scimitar Babbler
Pomatorhinus schisticeps	灰头钩嘴鹛	White-browed Scimitar Babbler
Erythrogenys hypoleucos	长嘴钩嘴鹛	Large Scimitar Babbler
Erythrogenys erythrogenys	锈脸钩嘴鹛	Rusty-cheeked Scimitar Babbler
Erythrogenys gravivox	斑胸钩嘴鹛	Black-streaked Scimitar Babbler
Erythrogenys swinhoei	华南斑胸钩嘴鹛	Grey-sided Scimitar Babbler
Erythrogenys erythrocnemis	台湾斑胸钩嘴鹛	Black-necklaced Scimitar Babbler
Stachyris nigriceps	黑头穗鹛	Grey-throated Babbler
Stachyris nonggangensis	弄岗穗鹛	Nonggang Babbler
Stachyris humei	黑胸楔嘴鹩鹛	Sikkim Wedge-billed Babbler
Stachyris roberti	楔嘴鹩鹛	Cachar Wedge-billed Wren-Babbler
Stachyris strialata	斑颈穗鹛	Spot-necked Babbler

Graminicola striatus	大草莺	Chinese Grassbird
Gampsorhynchus rufulus	白头鵙鹛	White-hooded Babbler
Gampsorhynchus torquatus	领鵙鹛	Collared Babbler
Schoeniparus cinereus	黄喉雀鹛	Yellow-throated Fulvetta
Schoeniparus castaneceps	栗头雀鹛	Rufous-winged Fulvetta
Schoeniparus variegaticeps	金额雀鹛	Golden-fronted Fulvetta
Schoeniparus rufogularis	棕喉雀鹛	Rufous-throated Fulvetta
Schoeniparus dubius	褐胁雀鹛	Rusty-capped Fulvetta
Schoeniparus brunneus	褐顶雀鹛	Dusky Fulvetta
Pellorneum ruficeps	棕头幽鹛	Puff-throated Babbler
Pellorneum albiventre	白腹幽鹛	Spot-throated Babbler
Pellorneum tickelli	棕胸雅鹛	Buff-breasted Babbler
Gypsophila brevicaudata	短尾鹪鹛	Streaked Wren-Babbler
Gypsophila annamensis	灰岩鹪鹛	Annam Limestone Babbler
Napothera epilepidota	纹胸鹪鹛	Eyebrowed Wren-Babbler
Napothera malacoptila	长嘴鹩鹛	Long-billed Wren-Babbler
Napothera naungmungensis	瑙蒙短尾鹛	Naung Mung Scimitar Babbler

Alcippe poioicephala	褐脸雀鹛	Brown-cheeked Fulvetta
Alcippe morrisonia	台湾雀鹛	Grey-cheeked Fulvetta
Alcippe davidi	灰眶雀鹛	David's Fulvetta
Alcippe fratercula	云南雀鹛	Yunnan Fulvetta
Alcippe hueti	淡眉雀鹛	Huet's Fulvetta
Alcippe nipalensis	白眶雀鹛	Nepal Fulvetta

Grammatoptila striata	条纹噪鹛	Striated Laughingthrush
Cutia nipalensis	斑胁姬鹛	Himalayan Cutia
Trochalopteron subunicolor	纯色噪鹛	Scaly Laughingthrush
Trochalopteron squamatum	蓝翅噪鹛	Blue-winged Laughingthrush
Trochalopteron lineatum	细纹噪鹛	Streaked Laughingthrush
Trochalopteron imbricatum	丽星噪鹛	Bhutan Laughingthrush
Trochalopteron variegatum	杂色噪鹛	Variegated Laughingthrush
Trochalopteron affine	黑顶噪鹛	Black-faced Laughingthrush
Trochalopteron morrisonianum	玉山噪鹛	White-whiskered Laughingthrush
Trochalopteron henrici	灰腹噪鹛	Brown-cheeked Laughingthrush
Trochalopteron elliotii	橙翅噪鹛	Elliot's Laughingthrush
Trochalopteron milnei	赤尾噪鹛	Red-tailed Laughingthrush
Trochalopteron erythrocephalum	红头噪鹛	Chestnut-crowned Laughingthrush
Trochalopteron chrysopterum	金翅噪鹛	Assam Laughingthrush
Trochalopteron formosum	丽色噪鹛	Red-winged Laughingthrush
Trochalopteron melanostigma	银耳噪鹛	Silver-eared Laughingthrush
Heterophasia picaoides	长尾奇鹛	Long-tailed Sibia
Heterophasia auricularis	白耳奇鹛	White-eared Sibia
Heterophasia capistrata	黑顶奇鹛	Rufous Sibia
Heterophasia pulchella	丽色奇鹛	Beautiful Sibia
Heterophasia gracilis	灰奇鹛	Grey Sibia
Heterophasia desgodinsi	黑头奇鹛	Black-headed Sibia
Actinodura nipalensis	纹头斑翅鹛	Hoary-throated Barwing
Actinodura morrisoniana	台湾斑翅鹛	Taiwan Barwing
Actinodura waldeni	纹胸斑翅鹛	Streak-throated Barwing
Actinodura souliei	灰头斑翅鹛	Streaked Barwing
Actinodura cyanouroptera	蓝翅希鹛	Blue-winged Minla
Actinodura strigula	斑喉希鹛	Bar-throated Minla
Actinodura egertoni	锈额斑翅鹛	Rusty-fronted Barwing
Actinodura ramsayi	白眶斑翅鹛	Spectacled Barwing
Leiothrix lutea	红嘴相思鸟	Red-billed Leiothrix
Leiothrix argentauris	银耳相思鸟	Silver-eared Mesia
Minla ignotincta	火尾希鹛	Red-tailed Minla
Leioptila annectens	栗背奇鹛	Rufous-backed Sibia
Liocichla omeiensis	灰胸薮鹛	Emei Shan Liocichla
Liocichla steerii	黄痣薮鹛	Steere's Liocichla
Liocichla phoenicea	赤脸薮鹛	Red-faced Liocichla
Liocichla ripponi	红翅薮鹛	Scarlet-faced Liocichla
Garrulax merulinus	斑胸噪鹛	Spot-breasted Laughingthrush
Garrulax canorus	画眉	Hwamei
Garrulax taewanus	台湾画眉	Taiwan Hwamei
Garrulax monileger	小黑领噪鹛	Lesser Necklaced Laughingthrush
Garrulax leucolophus	白冠噪鹛	White-crested Laughingthrush
Garrulax strepitans	白颈噪鹛	White-necked Laughingthrush
Garrulax maesi	褐胸噪鹛	Grey Laughingthrush
Garrulax castanotis	栗颊噪鹛	Rufous-cheeked Laughingthrush
Ianthocincla sukatschewi	黑额山噪鹛	Snowy-cheeked Laughingthrush
Ianthocincla rufogularis	棕颏噪鹛	Rufous-chinned Laughingthrush
Ianthocincla cineracea	灰翅噪鹛	Moustached Laughingthrush
Ianthocincla ocellata	眼纹噪鹛	Spotted Laughingthrush
Ianthocincla maxima	大噪鹛	Giant Laughingthrush
Ianthocincla bieti	白点噪鹛	White-speckled Laughingthrush
Ianthocincla lunulata	斑背噪鹛	Barred Laughingthrush
Pterorhinus gularis	棕臀噪鹛	Rufous-vented Laughingthrush
Pterorhinus galbanus	黄喉噪鹛	Yellow-throated Laughingthrush
Pterorhinus courtoisi	靛冠噪鹛	Blue-crowned Laughingthrush
Pterorhinus ruficollis	栗颈噪鹛	Rufous-necked Laughingthrush
Pterorhinus chinensis	黑喉噪鹛	Black-throated Laughingthrush
Pterorhinus sannio	白颊噪鹛	White-browed Laughingthrush
Pterorhinus perspicillatus	黑脸噪鹛	Masked Laughingthrush
Pterorhinus pectoralis	黑领噪鹛	Greater Necklaced Laughingthrush
Pterorhinus davidi	山噪鹛	Plain Laughingthrush
Pterorhinus lanceolatus	矛纹草鹛	Chinese Babax
Pterorhinus waddelli	大草鹛	Giant Babax
Pterorhinus koslowi	棕草鹛	Tibetan Babax
Pterorhinus albogularis	白喉噪鹛	White-throated Laughingthrush
Pterorhinus ruficeps	台湾白喉噪鹛	Rufous-crowned Laughingthrush
Pterorhinus caerulatus	灰胁噪鹛	Grey-sided Laughingthrush
Pterorhinus berthemyi	棕噪鹛	Buffy Laughingthrush
Pterorhinus poecilorhynchus	台湾棕噪鹛	Rusty Laughingthrush

Sylvia atricapilla	黑顶林莺	Eurasian Blackcap
Curruca nisoria	横斑林莺	Barred Warbler
Curruca minula	沙白喉林莺	Desert Whitethroat
Curruca curruca	白喉林莺	Lesser Whitethroat
Curruca althaea	休氏白喉林莺	Hume's Whitethroat
Curruca crassirostris	东歌林莺	Eastern Orphean Warbler
Curruca nana	亚洲漠地林莺	Asian Desert Warbler
Curruca communis	灰白喉林莺	Common Whitethroat

Myzornis pyrrhoura	火尾绿鹛	Fire-tailed Myzornis
Lioparus chrysotis	金胸雀鹛	Golden-breasted Fulvetta
Moupinia poecilotis	宝兴鹛雀	Rufous-tailed Babbler
Fulvetta vinipectus	白眉雀鹛	White-browed Fulvetta
Fulvetta striaticollis	高山雀鹛	Chinese Fulvetta
Fulvetta ruficapilla	棕头雀鹛	Spectacled Fulvetta
Fulvetta danisi	印支雀鹛	Indochinese Fulvetta
Fulvetta ludlowi	路德雀鹛	Ludlow's Fulvetta
Fulvetta cinereiceps	灰头雀鹛	Grey-hooded Fulvetta
Fulvetta manipurensis	褐头雀鹛	Streak-throated Fulvetta
Fulvetta formosana	玉山雀鹛	Taiwan Fulvetta
Chrysomma sinense	金眼鹛雀	Yellow-eyed Babbler
Rhopophilus pekinensis	山鹛	Beijing Hill Babbler
Rhopophilus albosuperciliaris	西域山鹛	Tarim Babbler
Conostoma aemodium	红嘴鸦雀	Great Parrotbill
Cholornis paradoxus	三趾鸦雀	Three-toed Parrotbill
Cholornis unicolor	褐鸦雀	Brown Parrotbill
Sinosuthora conspicillata	白眶鸦雀	Spectacled Parrotbill
Sinosuthora webbiana	棕头鸦雀	Vinous-throated Parrotbill
Sinosuthora alphonsiana	灰喉鸦雀	Ashy-throated Parrotbill
Sinosuthora brunnea	褐翅鸦雀	Brown-winged Parrotbill
Sinosuthora zappeyi	暗色鸦雀	Grey-hooded Parrotbill
Sinosuthora przewalskii	灰冠鸦雀	Rusty-throated Parrotbill
Suthora fulvifrons	黄额鸦雀	Fulvous Parrotbill
Suthora nipalensis	橙额鸦雀	Black-throated Parrotbill
Suthora verreauxi	金色鸦雀	Golden Parrotbill
Neosuthora davidiana	短尾鸦雀	Short-tailed Parrotbill
Chleuasicus atrosuperciliaris	黑眉鸦雀	Lesser Rufous-headed Parrotbill
Psittiparus ruficeps	白胸鸦雀	White-breasted Parrotbill
Psittiparus bakeri	红头鸦雀	Rufous-headed Parrotbill
Psittiparus gularis	灰头鸦雀	Grey-headed Parrotbill
Paradoxornis guttaticollis	点胸鸦雀	Spot-breasted Parrotbill
Calamornis heudei	震旦鸦雀	Reed Parrotbill

Parayuhina diademata	白领凤鹛	White-collared Yuhina
Staphida castaniceps	栗耳凤鹛	Striated Yuhina
Staphida torqueola	栗颈凤鹛	Chestnut-collared Yuhina
Yuhina nigrimenta	黑颏凤鹛	Black-chinned Yuhina
Yuhina brunneiceps	褐头凤鹛	Taiwan Yuhina
Yuhina flavicollis	黄颈凤鹛	Whiskered Yuhina
Yuhina bakeri	白项凤鹛	White-naped Yuhina
Yuhina gularis	纹喉凤鹛	Stripe-throated Yuhina
Yuhina occipitalis	棕臀凤鹛	Rufous-vented Yuhina
Zosterops erythropleurus	红胁绣眼鸟	Chestnut-flanked White-eye
Zosterops simplex	暗绿绣眼鸟	Swinhoe's White-eye
Zosterops japonicus	日本绣眼鸟	Japanese White-eye
Zosterops palpebrosus	灰腹绣眼鸟	Indian White-eye
Zosterops meyeni	低地绣眼鸟	Lowland White-eye

Irena puella	和平鸟	Asian Fairy Bluebird

Regulus goodfellowi	台湾戴菊	Flamecrest
Regulus regulus	戴菊	Goldcrest

Elachura formosa	丽星鹩鹛	Spotted Elachura

Troglodytes troglodytes	鹪鹩	Eurasian Wren

Sitta europaea	普通䴓	Eurasian Nuthatch
Sitta nagaensis	栗臀䴓	Chestnut-vented Nuthatch
Sitta cinnamoventris	栗腹䴓	Chestnut-bellied Nuthatch
Sitta himalayensis	白尾䴓	White-tailed Nuthatch
Sitta yunnanensis	滇䴓	Yunnan Nuthatch
Sitta villosa	黑头䴓	Chinese Nuthatch
Sitta przewalskii	白脸䴓	Przevalski's Nuthatch
Sitta frontalis	绒额䴓	Velvet-fronted Nuthatch
Sitta solangiae	淡紫䴓	Yellow-billed Nuthatch
Sitta magna	巨䴓	Giant Nuthatch
Sitta formosa	丽䴓	Beautiful Nuthatch

Tichodroma muraria	红翅旋壁雀	Wallcreeper

Certhia familiaris	旋木雀	Eurasian Treecreeper
Certhia hodgsoni	霍氏旋木雀	Hodgson's Treecreeper
Certhia himalayana	高山旋木雀	Bar-tailed Treecreeper
Certhia nipalensis	锈红腹旋木雀	Rusty-flanked Treecreeper
Certhia discolor	褐喉旋木雀	Brown-throated Treecreeper
Certhia manipurensis	休氏旋木雀	Hume's Treecreeper
Certhia tianquanensis	四川旋木雀	Sichuan Treecreeper

Saroglossa spilopterus	斑翅椋鸟	Spot-winged Starling
Ampeliceps coronatus	金冠树八哥	Golden-crested Myna
Gracula religiosa	鹩哥	Hill Myna
Acridotheres grandis	林八哥	Great Myna
Acridotheres cristatellus	八哥	Crested Myna
Acridotheres albocinctus	白领八哥	Collared Myna
Acridotheres tristis	家八哥	Common Myna
Acridotheres burmannicus	红嘴椋鸟	Vinous-breasted Starling
Spodiopsar sericeus	丝光椋鸟	Red-billed Starling
Spodiopsar cineraceus	灰椋鸟	White-cheeked Starling
Gracupica nigricollis	黑领椋鸟	Black-collared Starling
Gracupica contra	斑椋鸟	Indian Pied Myna
Gracupica floweri	暹罗斑椋鸟	Siamese Pied Myna
Agropsar sturninus	北椋鸟	Daurian Starling
Agropsar philippensis	紫背椋鸟	Chestnut-cheeked Starling
Sturnia sinensis	灰背椋鸟	White-shouldered Starling
Sturnia malabarica	灰头椋鸟	Chestnut-tailed Starling
Sturnia pagodarum	黑冠椋鸟	Brahminy Starling
Pastor roseus	粉红椋鸟	Rosy Starling
Sturnus vulgaris	紫翅椋鸟	Common Starling

Grandala coelicolor	蓝大翅鸲	Grandala
Cochoa purpurea	紫宽嘴鸫	Purple Cochoa
Cochoa viridis	绿宽嘴鸫	Green Cochoa
Zoothera dixoni	长尾地鸫	Long-tailed Thrush
Zoothera mollissima	光背地鸫	Alpine Thrush
Zoothera salimalii	喜山光背地鸫	Himalayan Thrush
Zoothera griseiceps	四川光背地鸫	Sichuan Thrush
Zoothera monticola	大长嘴地鸫	Long-billed Thrush
Zoothera marginata	长嘴地鸫	Dark-sided Thrush
Zoothera aurea	怀氏虎斑地鸫	White's Thrush
Zoothera dauma	虎斑地鸫	Scaly Thrush
Geokichla sibirica	白眉地鸫	Siberian Thrush
Geokichla citrina	橙头地鸫	Orange-headed Thrush
Turdus mupinensis	宝兴歌鸫	Chinese Thrush
Turdus philomelos	欧歌鸫	Song Thrush
Turdus viscivorus	槲鸫	Mistle Thrush
Turdus mandarinus	乌鸫	Chinese Blackbird
Turdus iliacus	白眉歌鸫	Redwing
Turdus merula	欧乌鸫	Common Blackbird
Turdus niveiceps	白头鸫	Taiwan Thrush
Turdus boulboul	灰翅鸫	Grey-winged Blackbird
Turdus unicolor	梯氏鸫	Tickell's Thrush
Turdus dissimilis	黑胸鸫	Black-breasted Thrush
Turdus cardis	乌灰鸫	Japanese Thrush
Turdus hortulorum	灰背鸫	Grey-backed Thrush
Turdus obscurus	白眉鸫	Eyebrowed Thrush
Turdus pallidus	白腹鸫	Pale Thrush
Turdus feae	褐头鸫	Grey-sided Thrush
Turdus chrysolaus	赤胸鸫	Brown-headed Thrush
Turdus maximus	藏乌鸫	Tibetan Blackbird
Turdus kessleri	棕背黑头鸫	Kessler's Thrush
Turdus pilaris	田鸫	Fieldfare
Turdus atrogularis	黑颈鸫	Black-throated Thrush
Turdus ruficollis	赤颈鸫	Red-throated Thrush
Turdus eunomus	斑鸫	Dusky Thrush
Turdus naumanni	红尾鸫	Naumann's Thrush
Turdus rubrocanus	灰头鸫	Chestnut Thrush
Turdus albocinctus	白颈鸫	White-collared Blackbird

Cercotrichas galactotes	棕薮鸲	Rufous-tailed Scrub Robin
Copsychus saularis	鹊鸲	Oriental Magpie Robin
Copsychus malabaricus	白腰鹊鸲	White-rumped Shama
Muscicapa striata	斑鹟	Spotted Flycatcher
Muscicapa griseisticta	灰纹鹟	Grey-streaked Flycatcher
Muscicapa sibirica	乌鹟	Dark-sided Flycatcher
Muscicapa dauurica	北灰鹟	Asian Brown Flycatcher
Muscicapa muttui	褐胸鹟	Brown-breasted Flycatcher
Muscicapa ferruginea	棕尾褐鹟	Ferruginous Flycatcher
Anthipes monileger	白喉姬鹟	White-gorgeted Flycatcher
Cyornis hainanus	海南蓝仙鹟	Hainan Blue Flycatcher
Cyornis unicolor	纯蓝仙鹟	Pale Blue Flycatcher
Cyornis poliogenys	灰颊仙鹟	Pale-chinned Flycatcher
Cyornis whitei	山蓝仙鹟	Hill Blue Flycatcher
Cyornis rubeculoides	蓝喉仙鹟	Blue-throated Flycatcher
Cyornis glaucicomans	中华仙鹟	Chinese Blue Flycatcher
Cyornis concretus	白尾蓝仙鹟	White-tailed Flycatcher
Cyornis brunneatus	白喉林鹟	Brown-chested Jungle Flycatcher
Niltava davidi	棕腹大仙鹟	Fujian Niltava
Niltava sundara	棕腹仙鹟	Rufous-bellied Niltava
Niltava vivida	棕腹蓝仙鹟	Vivid Niltava
Niltava grandis	大仙鹟	Large Niltava
Niltava macgrigoriae	小仙鹟	Small Niltava
Cyanoptila cyanomelana	白腹蓝鹟	Blue-and-white Flycatcher
Cyanoptila cumatilis	琉璃蓝鹟	Zappey's Flycatcher
Eumyias thalassinus	铜蓝鹟	Verditer Flycatcher
Erithacus rubecula	欧亚鸲	European Robin
Heteroxenicus stellatus	栗背短翅鸫	Gould's Shortwing
Brachypteryx hyperythra	锈腹短翅鸫	Rusty-bellied Shortwing
Brachypteryx leucophris	白喉短翅鸫	Lesser Shortwing
Brachypteryx cruralis	喜山短翅鸫	Himalayan Shortwing
Brachypteryx sinensis	中华短翅鸫	Chinese Shortwing
Brachypteryx goodfellowi	台湾短翅鸫	Taiwan Shortwing
Larvivora brunnea	栗腹歌鸲	Indian Blue Robin
Larvivora cyane	蓝歌鸲	Siberian Blue Robin
Larvivora sibilans	红尾歌鸲	Rufous-tailed Robin
Larvivora ruficeps	棕头歌鸲	Rufous-headed Robin
Larvivora komadori	琉球歌鸲	Ryukyu Robin
Larvivora akahige	日本歌鸲	Japanese Robin
Luscinia svecica	蓝喉歌鸲	Bluethroat
Luscinia phaenicuroides	白腹短翅鸲	White-bellied Redstart
Luscinia megarhynchos	新疆歌鸲	Common Nightingale
Calliope pectoralis	黑胸歌鸲	White-tailed Rubythroat
Calliope tschebaiewi	白须黑胸歌鸲	Chinese Rubythroat
Calliope calliope	红喉歌鸲	Siberian Rubythroat
Calliope pectardens	金胸歌鸲	Firethroat
Calliope obscura	黑喉歌鸲	Blackthroat
Myiomela leucura	白尾蓝地鸲	White-tailed Robin
Tarsiger indicus	白眉林鸲	White-browed Bush Robin
Tarsiger hyperythrus	棕腹林鸲	Rufous-breasted Bush Robin
Tarsiger johnstoniae	台湾林鸲	Collared Bush Robin
Tarsiger cyanurus	红胁蓝尾鸲	Orange-flanked Bluetail
Tarsiger rufilatus	蓝眉林鸲	Himalayan Bluetail
Tarsiger chrysaeus	金色林鸲	Golden Bush Robin
Enicurus scouleri	小燕尾	Little Forktail
Enicurus immaculatus	黑背燕尾	Black-backed Forktail
Enicurus schistaceus	灰背燕尾	Slaty-backed Forktail
Enicurus leschenaulti	白冠燕尾	White-crowned Forktail
Enicurus maculatus	斑背燕尾	Spotted Forktail
Myophonus insularis	台湾紫啸鸫	Taiwan Whistling Thrush
Myophonus caeruleus	紫啸鸫	Blue Whistling Thrush
Cinclidium frontale	蓝额长脚地鸲	Blue-fronted Robin
Ficedula zanthopygia	白眉姬鹟	Yellow-rumped Flycatcher
Ficedula elisae	绿背姬鹟	Green-backed Flycatcher
Ficedula narcissina	黄眉姬鹟	Narcissus Flycatcher
Ficedula owstoni	琉球姬鹟	Ryukyu Flycatcher
Ficedula erithacus	锈胸蓝姬鹟	Slaty-backed Flycatcher
Ficedula mugimaki	鸲姬鹟	Mugimaki Flycatcher
Ficedula hodgsoni	侏蓝仙鹟	Pygmy Flycatcher
Ficedula strophiata	橙胸姬鹟	Rufous-gorgeted Flycatcher
Ficedula sapphira	玉头姬鹟	Sapphire Flycatcher
Ficedula superciliaris	白眉蓝姬鹟	Ultramarine Flycatcher
Ficedula westermanni	小斑姬鹟	Little Pied Flycatcher
Ficedula tricolor	灰蓝姬鹟	Slaty-blue Flycatcher
Ficedula hyperythra	棕胸蓝姬鹟	Snowy-browed Flycatcher
Ficedula ruficauda	栗尾姬鹟	Rusty-tailed Flycatcher
Ficedula albicilla	红喉姬鹟	Taiga Flycatcher
Ficedula parva	红胸姬鹟	Red-breasted Flycatcher
Ficedula hypoleuca	斑姬鹟	European Pied Flycatcher
Phoenicurus alaschanicus	贺兰山红尾鸲	Ala Shan Redstart
Phoenicurus erythronotus	红背红尾鸲	Eversmann's Redstart
Phoenicurus coeruleocephala	蓝头红尾鸲	Blue-capped Redstart
Phoenicurus ochruros	赭红尾鸲	Black Redstart
Phoenicurus phoenicurus	欧亚红尾鸲	Common Redstart
Phoenicurus hodgsoni	黑喉红尾鸲	Hodgson's Redstart
Phoenicurus schisticeps	白喉红尾鸲	White-throated Redstart
Phoenicurus auroreus	北红尾鸲	Daurian Redstart
Phoenicurus erythrogastrus	红腹红尾鸲	White-winged Redstart
Phoenicurus frontalis	蓝额红尾鸲	Blue-fronted Redstart
Phoenicurus fuliginosus	红尾水鸲	Plumbeous Water Redstart
Phoenicurus leucocephalus	白顶溪鸲	White-capped Water Redstart
Monticola saxatilis	白背矶鸫	Rufous-tailed Rock Thrush
Monticola solitarius	蓝矶鸫	Blue Rock Thrush
Monticola rufiventris	栗腹矶鸫	Chestnut-bellied Rock Thrush
Monticola gularis	白喉矶鸫	White-throated Rock Thrush
Saxicola insignis	白喉石䳭	White-throated Bushchat
Saxicola maurus	黑喉石䳭	Siberian Stonechat
Saxicola stejnegeri	东亚石䳭	Stejneger's Stonechat
Saxicola caprata	白斑黑石䳭	Pied Bushchat
Saxicola jerdoni	黑白林䳭	Jerdon's Bushchat
Saxicola ferreus	灰林䳭	Grey Bushchat
Oenanthe oenanthe	穗䳭	Northern Wheatear
Oenanthe isabellina	沙䳭	Isabelline Wheatear
Oenanthe deserti	漠䳭	Desert Wheatear
Oenanthe pleschanka	白顶䳭	Pied Wheatear
Oenanthe picata	东方斑䳭	Variable Wheatear
Cinclus cinclus	河乌	White-throated Dipper
Cinclus pallasii	褐河乌	Brown Dipper

Chloropsis moluccensis	蓝翅叶鹎	Blue-winged Leafbird
Chloropsis aurifrons	金额叶鹎	Golden-fronted Leafbird
Chloropsis hardwickii	黄冠橙腹叶鹎	Orange-bellied Leafbird
Chloropsis lazulina	橙腹叶鹎	Greyish-crowned Leafbird

Dicaeum agile	厚嘴啄花鸟	Thick-billed Flowerpecker
Dicaeum chrysorrheum	黄臀啄花鸟	Yellow-vented Flowerpecker
Dicaeum melanozanthum	黄腹啄花鸟	Yellow-bellied Flowerpecker
Dicaeum minullum	纯色啄花鸟	Plain Flowerpecker
Dicaeum ignipectus	红胸啄花鸟	Fire-breasted Flowerpecker
Dicaeum cruentatum	朱背啄花鸟	Scarlet-backed Flowerpecker

Chalcoparia singalensis	紫颊直嘴太阳鸟	Ruby-cheeked Sunbird
Anthreptes malacensis	褐喉食蜜鸟	Brown-throated Sunbird
Cinnyris asiaticus	紫色花蜜鸟	Purple Sunbird
Cinnyris jugularis	黄腹花蜜鸟	Olive-backed Sunbird
Aethopyga gouldiae	蓝喉太阳鸟	Mrs. Gould's Sunbird
Aethopyga nipalensis	绿喉太阳鸟	Green-tailed Sunbird
Aethopyga christinae	叉尾太阳鸟	Fork-tailed Sunbird
Aethopyga saturata	黑胸太阳鸟	Black-throated Sunbird
Aethopyga siparaja	黄腰太阳鸟	Crimson Sunbird
Aethopyga ignicauda	火尾太阳鸟	Fire-tailed Sunbird
Kurochkinegramma hypogrammicum	蓝枕花蜜鸟	Purple-naped Sunbird
Arachnothera longirostra	长嘴捕蛛鸟	Little Spiderhunter
Arachnothera magna	纹背捕蛛鸟	Streaked Spiderhunter

Petronia petronia	石雀	Rock Sparrow
Onychostruthus taczanowskii	白腰雪雀	White-rumped Snowfinch
Montifringilla henrici	藏雪雀	Tibetan Snowfinch
Montifringilla nivalis	白斑翅雪雀	White-winged Snowfinch
Montifringilla adamsi	褐翅雪雀	Black-winged Snowfinch
Pyrgilauda ruficollis	棕颈雪雀	Rufous-necked Snowfinch
Pyrgilauda davidiana	黑喉雪雀	Père David's Snowfinch
Pyrgilauda blanfordi	棕背雪雀	Blanford's Snowfinch
Passer cinnamomeus	山麻雀	Russet Sparrow
Passer montanus	麻雀	Eurasian Tree Sparrow
Passer ammodendri	黑顶麻雀	Saxaul Sparrow
Passer hispaniolensis	黑胸麻雀	Spanish Sparrow
Passer domesticus	家麻雀	House Sparrow

Ploceus manyar	纹胸织雀	Streaked Weaver
Ploceus philippinus	黄胸织雀	Baya Weaver

Lonchura punctulata	斑文鸟	Scaly-breasted Munia
Lonchura striata	白腰文鸟	White-rumped Munia
Lonchura atricapilla	栗腹文鸟	Chestnut Munia
Erythrura prasina	长尾鹦雀	Pin-tailed Parrotfinch
Amandava amandava	红梅花雀	Red Avadavat

Prunella collaris	领岩鹨	Alpine Accentor
Prunella himalayana	高原岩鹨	Altai Accentor
Prunella rubeculoides	鸲岩鹨	Robin Accentor
Prunella strophiata	棕胸岩鹨	Rufous-breasted Accentor
Prunella montanella	棕眉山岩鹨	Siberian Accentor
Prunella fulvescens	褐岩鹨	Brown Accentor
Prunella atrogularis	黑喉岩鹨	Black-throated Accentor
Prunella koslowi	贺兰山岩鹨	Mongolian Accentor
Prunella immaculata	栗背岩鹨	Maroon-backed Accentor

Dendronanthus indicus	山鹡鸰	Forest Wagtail
Motacilla flava	西黄鹡鸰	Western Yellow Wagtail
Motacilla tschutschensis	黄鹡鸰	Eastern Yellow Wagtail
Motacilla citreola	黄头鹡鸰	Citrine Wagtail
Motacilla cinerea	灰鹡鸰	Grey Wagtail
Motacilla alba	白鹡鸰	White Wagtail
Motacilla grandis	日本鹡鸰	Japanese Wagtail
Motacilla maderaspatensis	大斑鹡鸰	White-browed Wagtail
Anthus richardi	理氏鹨	Richard's Pipit
Anthus rufulus	田鹨	Paddyfield Pipit
Anthus godlewskii	布氏鹨	Blyth's Pipit
Anthus campestris	平原鹨	Tawny Pipit
Anthus pratensis	草地鹨	Meadow Pipit
Anthus trivialis	林鹨	Tree Pipit
Anthus hodgsoni	树鹨	Olive-backed Pipit
Anthus gustavi	北鹨	Pechora Pipit
Anthus roseatus	粉红胸鹨	Rosy Pipit
Anthus cervinus	红喉鹨	Red-throated Pipit
Anthus rubescens	黄腹鹨	Buff-bellied Pipit
