102	帆背潜鸭	Aythya valisineria	Canvasback	雁形目	鸭科
103	红头潜鸭	Aythya ferina	Common Pochard	雁形目	鸭科
104	青头潜鸭	Aythya baeri	Baer's Pochard	雁形目	鸭科
105	白眼潜鸭	Aythya nyroca	Ferruginous Pochard	雁形目	鸭科
106	凤头潜鸭	Aythya fuligula	Tufted Duck	雁形目	鸭科
107	斑背潜鸭	Aythya marila	Greater Scaup	雁形目	鸭科
108	小绒鸭	Polysticta stelleri	Steller's Eider	雁形目	鸭科
116	红胸秋沙鸭	Mergus serrator	Red-breasted Merganser	雁形目	鸭科
109	丑鸭	Histrionicus histrionicus	Harlequin Duck	雁形目	鸭科
110	斑脸海番鸭	Melanitta deglandi	White-winged Scoter	雁形目	鸭科
111	黑海番鸭	Melanitta americana	Black Scoter	雁形目	鸭科
112	长尾鸭	Clangula hyemalis	Long-tailed Duck	雁形目	鸭科
113	鹊鸭	Bucephala clangula	Common Goldeneye	雁形目	鸭科
114	白秋沙鸭	Mergellus albellus	Smew	雁形目	鸭科
115	普通秋沙鸭	Mergus merganser	Common Merganser	雁形目	鸭科
134	褐燕鹱	Bulweria bulwerii	Bulwer's Petrel	鹱形目	鹱科
117	中华秋沙鸭	Mergus squamatus	Scaly-sided Merganser	雁形目	鸭科
118	白头硬尾鸭	Oxyura leucocephala	White-headed Duck	雁形目	鸭科
119	红喉潜鸟	Gavia stellata	Red-throated Loon	潜鸟目	潜鸟科
120	黑喉潜鸟	Gavia arctica	Black-throated Loon	潜鸟目	潜鸟科
121	太平洋潜鸟	Gavia pacifica	Pacific Loon	潜鸟目	潜鸟科
122	黄嘴潜鸟	Gavia adamsii	Yellow-billed Loon	潜鸟目	潜鸟科
123	黑背信天翁	Phoebastria immutabilis	Laysan Albatross	鹱形目	信天翁科
124	黑脚信天翁	Phoebastria nigripes	Black-footed Albatross	鹱形目	信天翁科
125	短尾信天翁	Phoebastria albatrus	Short-tailed Albatross	鹱形目	信天翁科
126	暴雪鹱	Fulmarus glacialis	Northern Fulmar	鹱形目	鹱科
127	白额圆尾鹱	Pterodroma hypoleuca	Bonin Petrel	鹱形目	鹱科
128	钩嘴圆尾鹱	Pseudobulweria rostrata	Tahiti Petrel	鹱形目	鹱科
129	白额鹱	Calonectris leucomelas	Streaked Shearwater	鹱形目	鹱科
