中华鹪鹛	Pnoepyga mutica	39		
高原岩鹨	Prunella himalayana	39		
乌灰鹞	Circus pygargus	38		
橙胸咬鹃	Harpactes oreskios	38		
黑雁	Branta bernicla	37		
白颊黑雁	Branta leucopsis	37		
棕腹隼雕	Lophotriorchis kienerii	37		
芦苇莺	Acrocephalus scirpaceus	37		
厚嘴啄花鸟	Dicaeum agile	37		
白斑翅雪雀	Montifringilla nivalis	36		
鬼鸮	Aegolius funereus	35		
雪鸮	Bubo scandiacus	34		无足之鸟
四川山鹧鸪	Arborophila rufipectus	33		
红腹咬鹃	Harpactes wardi	32		
纹胸织雀	Ploceus manyar	32		
斑胁田鸡	Zapornia paykullii	31		
乌燕鸥	Onychoprion fuscatus	31		
灰头绿鸠	Treron phayrei	31		
斑翅鹩鹛	Spelaeornis troglodytoides	31		
藏乌鸫	Turdus maximus	31		拉萨石头
褐燕鹱	Bulweria bulwerii	30		
长脚秧鸡	Crex crex	30		
栗背短翅鸫	Heteroxenicus stellatus	30		
波斑鸨	Chlamydotis macqueenii	29		
二斑百灵	Melanocorypha bimaculata	29		
日本柳莺	Phylloscopus xanthodryas	29		
苍眉蝗莺	Helopsaltes fasciolatus	29		
楔嘴鹩鹛	Stachyris roberti	29		
西藏毛腿沙鸡	Syrrhaptes tibetanus	28		拉萨石头
橙胸绿鸠	Treron bicinctus	28		
北噪鸦	Perisoreus infaustus	28		无足之鸟
黑斑蝗莺	Locustella naevia	28		
小美洲黑雁	Branta hutchinsii	27		
斑鹭	Egretta picata	27		
沙丘鹤	Antigone canadensis	27		2-13 江苏省盐城市射阳县射阳县芦苇开发公司
戈氏金丝燕	Aerodramus germani	27		L
宽嘴鹟莺	Tickellia hodgsoni	27		
玫红眉朱雀	Carpodacus rodochroa	27		
黍鹀	Emberiza calandra	27		
长尾贼鸥	Stercorarius longicaudus	26		
褐背针尾雨燕	Hirundapus giganteus	26		
海鸬鹚	Phalacrocorax pelagicus	25		
栗鸢	Haliastur indus	25		
白顶玄燕鸥	Anous stolidus	25		
美洲绿翅鸭	Anas carolinensis	24		
岩雷鸟	Lagopus muta	24		
灰头斑翅鹛	Actinodura souliei	24		
斑翅椋鸟	Saroglossa spilopterus	24		
红胸角雉	Tragopan satyra	23		拉萨石头
草原鹞	Circus macrourus	23		
纹头斑翅鹛	Actinodura nipalensis	23		拉萨石头
棕颏噪鹛	Ianthocincla rufogularis	23		
玉山雀鹛	Fulvetta formosana	23		lanwen
赤朱雀	Agraphospiza rubescens	23		
喜山点翅朱雀	Carpodacus rodopeplus	23		拉萨石头
黑头噪鸦	Perisoreus internigrans	22		
棕喉雀鹛	Schoeniparus rufogularis	22		
棕薮鸲	Cercotrichas galactotes	22		
贺兰山岩鹨	Prunella koslowi	22		阿拉善刺猬
彩鹳	Mycteria leucocephala	21		
花田鸡	Coturnicops exquisitus	21		
赤翡翠	Halcyon coromanda	21		
欧歌鸫	Turdus philomelos	21		
黑喉歌鸲	Calliope obscura	21		
灰瓣蹼鹬	Phalaropus fulicarius	20		
小凤头燕鸥	Thalasseus bengalensis	19		
短尾贼鸥	Stercorarius parasiticus	19		
扁嘴海雀	Synthliboramphus antiquus	19		
四川林鸮	Strix davidi	19		
大草莺	Graminicola striatus	19		
灰山鹑	Perdix perdix	18		
小鸨	Tetrax tetrax	18		
东方叽喳柳莺	Phylloscopus sindianus	18		
低地绣眼鸟	Zosterops meyeni	18		
柳雷鸟	Lagopus lagopus	17		
绿孔雀	Pavo muticus	17		
白嘴端凤头燕鸥	Thalasseus sandvicensis	17		
灰林鸽	Columba pulchricollis	17		
白腹黑啄木鸟	Dryocopus javensis	17		1-28 藏族自治州维西傈僳族自治县滇金丝猴国家公园
蓝额长脚地鸲	Cinclidium frontale	17		
褐头岭雀	Carpodacus sillemi	17		
印度池鹭	Ardeola grayii	16		1-11 大理白族自治州剑川县剑湖
北蝗莺	Helopsaltes ochotensis	16		
海南孔雀雉	Polyplectron katsumatae	15		L
楔尾鹱	Ardenna pacifica	15		
褐鲣鸟	Sula leucogaster	15		
家鸦	Corvus splendens	15		
赤脸薮鹛	Liocichla phoenicea	15		
白翅交嘴雀	Loxia leucoptera	15		
小嘴鸻	Charadrius morinellus	14		
红顶绿鸠	Treron formosae	14		
白领翡翠	Todiramphus chloris	14		
水蒲苇莺	Acrocephalus schoenobaenus	14		
东亚蝗莺	Helopsaltes pleskei	14		Kenneth
丑鸭	Histrionicus histrionicus	13		
姬鹬	Lymnocryptes minimus	13		1-16 乌鲁木齐市头屯河区新庄上村
紫宽嘴鸫	Cochoa purpurea	13		
绿宽嘴鸫	Cochoa viridis	13		
林沙锥	Gallinago nemoricola	12		
中贼鸥	Stercorarius pomarinus	12		
菲律宾鹃鸠	Macropygia tenuirostris	12		
棕枕山雀	Periparus rufonuchalis	12		
白颊鹎	Pycnonotus leucogenys	12		
黄喉噪鹛	Pterorhinus galbanus	12		
绿眉鸭	Mareca americana	11		徐萌
黑头白鹮	Threskiornis melanocephalus	11		
普通鹰鹃	Hierococcyx varius	11		
红领绿鹦鹉	Psittacula krameri	11		
双辫八色鸫	Hydrornis phayrei	11		
灰颊仙鹟	Cyornis poliogenys	11		
蓝翅八色鸫	Pitta moluccensis	10		
尼泊尔鹪鹛	Pnoepyga immaculata	10		
休氏树莺	Horornis brunnescens	10		
