鸟种编号	中文名	拉丁名	英文名	目	科	定点记	随手记
4135	雪鸽	Columba leuconota	Snow Pigeon	鸽形目	鸠鸽科	2	0
4139	斑林鸽	Columba hodgsonii	Speckled Wood Pigeon	鸽形目	鸠鸽科	1	0
4140	灰林鸽	Columba pulchricollis	Ashy Wood Pigeon	鸽形目	鸠鸽科	0	1
4145	山斑鸠	Streptopelia orientalis	Oriental Turtle Dove	鸽形目	鸠鸽科	37	0
4146	灰斑鸠	Streptopelia decaocto	Eurasian Collared Dove	鸽形目	鸠鸽科	5	0
4147	火斑鸠	Streptopelia tranquebarica	Red Turtle Dove	鸽形目	鸠鸽科	15	0
4148	珠颈斑鸠	Spilopelia chinensis	Spotted Dove	鸽形目	鸠鸽科	170	2
4150	斑尾鹃鸠	Macropygia unchall	Bar-tailed Cuckoo Dove	鸽形目	鸠鸽科	10	0
4153	绿翅金鸠	Chalcophaps indica	Emerald Dove	鸽形目	鸠鸽科	11	0
4156	厚嘴绿鸠	Treron curvirostra	Thick-billed Green Pigeon	鸽形目	鸠鸽科	1	0
4158	针尾绿鸠	Treron apicauda	Pin-tailed Green Pigeon	鸽形目	鸠鸽科	2	0
4160	楔尾绿鸠	Treron sphenurus	Wedge-tailed Green Pigeon	鸽形目	鸠鸽科	1	0
4161	红翅绿鸠	Treron sieboldii	White-bellied Green Pigeon	鸽形目	鸠鸽科	1	0
4171	普通夜鹰	Caprimulgus jotaka	Grey Nightjar	夜鹰目	夜鹰科	7	1
4174	长尾夜鹰	Caprimulgus macrurus	Large-tailed Nightjar	夜鹰目	夜鹰科	3	0
4175	林夜鹰	Caprimulgus affinis	Savanna Nightjar	夜鹰目	夜鹰科	1	0
4176	凤头雨燕	Hemiprocne coronata	Crested Treeswift	夜鹰目	凤头雨燕科	1	0
4177	白喉针尾雨燕	Hirundapus caudacutus	White-throated Spinetail	夜鹰目	雨燕科	2	1
4181	短嘴金丝燕	Aerodramus brevirostris	Himalayan Swiftlet	夜鹰目	雨燕科	6	0
4183	棕雨燕	Cypsiurus balasiensis	Asian Palm Swift	夜鹰目	雨燕科	2	0
4186	白腰雨燕	Apus pacificus	Fork-tailed Swift	夜鹰目	雨燕科	4	0
4189	小白腰雨燕	Apus nipalensis	House Swift	夜鹰目	雨燕科	59	1
4190	普通雨燕	Apus apus	Common Swift	夜鹰目	雨燕科	1	0
4191	褐翅鸦鹃	Centropus sinensis	Greater Coucal	鹃形目	杜鹃科	86	0
4192	小鸦鹃	Centropus bengalensis	Lesser Coucal	鹃形目	杜鹃科	2	0
4193	绿嘴地鹃	Phaenicophaeus tristis	Green-billed Malkoha	鹃形目	杜鹃科	4	0
4195	红翅凤头鹃	Clamator coromandus	Chestnut-winged Cuckoo	鹃形目	杜鹃科	7	1
4196	噪鹃	Eudynamys scolopaceus	Western Koel	鹃形目	杜鹃科	40	1
4200	八声杜鹃	Cacomantis merulinus	Plaintive Cuckoo	鹃形目	杜鹃科	26	1
4201	乌鹃	Surniculus lugubris	Square-tailed Drongo-cuckoo	鹃形目	杜鹃科	12	1
4202	大鹰鹃	Hierococcyx sparverioides	Large Hawk-cuckoo	鹃形目	杜鹃科	31	0
4204	棕腹鹰鹃	Hierococcyx nisicolor	Whistling Hawk-cuckoo	鹃形目	杜鹃科	9	0
4205	北棕腹鹰鹃	Hierococcyx hyperythrus	Northern Hawk-cuckoo	鹃形目	杜鹃科	1	0
4206	四声杜鹃	Cuculus micropterus	Indian Cuckoo	鹃形目	杜鹃科	15	0
4207	大杜鹃	Cuculus canorus	Common Cuckoo	鹃形目	杜鹃科	11	0
4208	中杜鹃	Cuculus saturatus	Himalayan Cuckoo	鹃形目	杜鹃科	4	0
4209	东方中杜鹃	Cuculus optatus	Oriental Cuckoo	鹃形目	杜鹃科	2	0
4210	小杜鹃	Cuculus poliocephalus	Lesser Cuckoo	鹃形目	杜鹃科	14	0
4211	红脚斑秧鸡	Rallina fasciata	Red-legged Crake	鹤形目	秧鸡科	3	0
4212	白喉斑秧鸡	Rallina eurizonoides	Slaty-legged Crake	鹤形目	秧鸡科	2	0
4215	普通秧鸡	Rallus indicus	Eastern Water Rail	鹤形目	秧鸡科	2	0
4216	灰胸秧鸡	Lewinia striata	Slaty-breasted Rail	鹤形目	秧鸡科	2	0
4219	红胸田鸡	Zapornia fusca	Ruddy-breasted Crake	鹤形目	秧鸡科	2	0
4221	红脚田鸡	Zapornia akool	Brown Crake	鹤形目	秧鸡科	4	0
4224	棕背田鸡	Zapornia bicolor	Black-tailed Crake	鹤形目	秧鸡科	2	0
4225	白胸苦恶鸟	Amaurornis phoenicurus	White-breasted Waterhen	鹤形目	秧鸡科	54	1
4227	董鸡	Gallicrex cinerea	Watercock	鹤形目	秧鸡科	5	0
4228	紫水鸡	Porphyrio poliocephalus	Grey-headed Swamphen	鹤形目	秧鸡科	13	0
4229	黑水鸡	Gallinula chloropus	Common Moorhen	鹤形目	秧鸡科	104	1
4230	白骨顶	Fulica atra	Common Coot	鹤形目	秧鸡科	43	1
4231	白鹤	Leucogeranus leucogeranus	Siberian Crane	鹤形目	鹤科	8	0
4232	沙丘鹤	Antigone canadensis	Sandhill Crane	鹤形目	鹤科	1	0
4233	白枕鹤	Antigone vipio	White-naped Crane	鹤形目	鹤科	3	0
4236	丹顶鹤	Grus japonensis	Red-crowned Crane	鹤形目	鹤科	1	0
4237	灰鹤	Grus grus	Common Crane	鹤形目	鹤科	5	0
4238	白头鹤	Grus monacha	Hooded Crane	鹤形目	鹤科	5	0
4239	黑颈鹤	Grus nigricollis	Black-necked Crane	鹤形目	鹤科	0	1
4241	大鸨	Otis tarda	Great Bustard	鸨形目	鸨科	1	0
4243	红喉潜鸟	Gavia stellata	Red-throated Loon	潜鸟目	潜鸟科	1	0
4244	黑喉潜鸟	Gavia arctica	Arctic Loon	潜鸟目	潜鸟科	1	0
4245	太平洋潜鸟	Gavia pacifica	Pacific Loon	潜鸟目	潜鸟科	1	0
4249	黑叉尾海燕	Hydrobates monorhis	Swinhoe's Storm-petrel	鹱形目	海燕科	3	0
4259	白额鹱	Calonectris leucomelas	Streaked Shearwater	鹱形目	鹱科	2	0
4264	短尾鹱	Ardenna tenuirostris	Short-tailed Shearwater	鹱形目	鹱科	2	0
4266	褐燕鹱	Bulweria bulwerii	Bulwer's Petrel	鹱形目	鹱科	2	0
4271	黑鹳	Ciconia nigra	Black Stork	鹳形目	鹳科	2	0
4274	东方白鹳	Ciconia boyciana	Oriental Stork	鹳形目	鹳科	14	0
4275	白琵鹭	Platalea leucorodia	Eurasian Spoonbill	鹈形目	鹮科	29	1
4276	黑脸琵鹭	Platalea minor	Black-faced Spoonbill	鹈形目	鹮科	39	0
4280	彩鹮	Plegadis falcinellus	Glossy Ibis	鹈形目	鹮科	5	0
4281	大麻鳽	Botaurus stellaris	Eurasian Bittern	鹈形目	鹭科	5	0
4283	黄斑苇鳽	Ixobrychus sinensis	Yellow Bittern	鹈形目	鹭科	31	0
4285	栗苇鳽	Ixobrychus cinnamomeus	Cinnamon Bittern	鹈形目	鹭科	3	0
4286	黑苇鳽	Ixobrychus flavicollis	Black Bittern	鹈形目	鹭科	2	0
4287	海南鳽	Gorsachius magnificus	White-eared Night-heron	鹈形目	鹭科	1	0
