鸟种编号	中文名	拉丁名	英文名	目	科	定点记	随手记
4538	白腹海雕	Haliaeetus leucogaster	White-bellied Sea Eagle	鹰形目	鹰科	3	0
4540	白尾海雕	Haliaeetus albicilla	White-tailed Sea Eagle	鹰形目	鹰科	3	0
4545	灰脸鵟鹰	Butastur indicus	Grey-faced Buzzard	鹰形目	鹰科	2	0
4546	毛脚鵟	Buteo lagopus	Rough-legged Buzzard	鹰形目	鹰科	2	0
4547	大鵟	Buteo hemilasius	Upland Buzzard	鹰形目	鹰科	8	1
4548	普通鵟	Buteo japonicus	Eastern Buzzard	鹰形目	鹰科	18	0
4549	喜山鵟	Buteo refectus	Himalayan Buzzard	鹰形目	鹰科	1	0
4553	红头咬鹃	Harpactes erythrocephalus	Red-headed Trogon	咬鹃目	咬鹃科	2	0
4560	戴胜	Upupa epops	Eurasian Hoopoe	犀鸟目	戴胜科	16	0
4562	蓝须夜蜂虎	Nyctyornis athertoni	Blue-bearded Bee Eater	佛法僧目	蜂虎科	5	0
4563	绿喉蜂虎	Merops orientalis	Asian Green Bee Eater	佛法僧目	蜂虎科	1	0
4565	栗喉蜂虎	Merops philippinus	Blue-tailed Bee Eater	佛法僧目	蜂虎科	20	0
4567	蓝喉蜂虎	Merops viridis	Blue-throated Bee Eater	佛法僧目	蜂虎科	1	0
4572	三宝鸟	Eurystomus orientalis	Oriental Dollarbird	佛法僧目	佛法僧科	6	0
4575	普通翠鸟	Alcedo atthis	Common Kingfisher	佛法僧目	翠鸟科	61	0
4576	斑头大翠鸟	Alcedo hercules	Blyth's Kingfisher	佛法僧目	翠鸟科	1	0
4577	冠鱼狗	Megaceryle lugubris	Crested Kingfisher	佛法僧目	翠鸟科	5	0
4578	斑鱼狗	Ceryle rudis	Pied Kingfisher	佛法僧目	翠鸟科	20	0
4581	白胸翡翠	Halcyon smyrnensis	White-throated Kingfisher	佛法僧目	翠鸟科	30	0
4582	蓝翡翠	Halcyon pileata	Black-capped Kingfisher	佛法僧目	翠鸟科	4	0
4584	大拟啄木鸟	Psilopogon virens	Great Barbet	啄木鸟目	拟啄木鸟科	34	2
4587	金喉拟啄木鸟	Psilopogon franklinii	Golden-throated Barbet	啄木鸟目	拟啄木鸟科	5	0
4588	黑眉拟啄木鸟	Psilopogon faber	Chinese Barbet	啄木鸟目	拟啄木鸟科	12	1
4590	蓝喉拟啄木鸟	Psilopogon asiaticus	Blue-throated Barbet	啄木鸟目	拟啄木鸟科	4	0
4594	蚁䴕	Jynx torquilla	Wryneck	啄木鸟目	啄木鸟科	2	0
4595	白眉棕啄木鸟	Sasia ochracea	White-browed Piculet	啄木鸟目	啄木鸟科	4	1
4596	斑姬啄木鸟	Picumnus innominatus	Speckled Piculet	啄木鸟目	啄木鸟科	18	0
4597	黄嘴栗啄木鸟	Blythipicus pyrrhotis	Bay Woodpecker	啄木鸟目	啄木鸟科	19	0
4598	大金背啄木鸟	Chrysocolaptes guttacristatus	Greater Flameback	啄木鸟目	啄木鸟科	2	0
4603	栗啄木鸟	Micropternus brachyurus	Rufous Woodpecker	啄木鸟目	啄木鸟科	15	1
4604	大黄冠啄木鸟	Chrysophlegma flavinucha	Greater Yellow-naped Woodpecker	啄木鸟目	啄木鸟科	5	0
4605	黄冠啄木鸟	Picus chlorolophus	Lesser Yellow-naped Woodpecker	啄木鸟目	啄木鸟科	1	0
4610	灰头绿啄木鸟	Picus canus	Grey-faced Woodpecker	啄木鸟目	啄木鸟科	13	1
4612	黑啄木鸟	Dryocopus martius	Black Woodpecker	啄木鸟目	啄木鸟科	1	0
4614	三趾啄木鸟	Picoides tridactylus	Three-toed Woodpecker	啄木鸟目	啄木鸟科	1	0
4615	星头啄木鸟	Picoides canicapillus	Grey-capped Woodpecker	啄木鸟目	啄木鸟科	12	0
4617	赤胸啄木鸟	Dryobates cathpharius	Scarlet-breasted Woodpecker	啄木鸟目	啄木鸟科	3	2
4619	褐额啄木鸟	Leiopicus auriceps	Brown-fronted Woodpecker	啄木鸟目	啄木鸟科	1	0
4620	棕腹啄木鸟	Dendrocopos hyperythrus	Rufous-bellied Woodpecker	啄木鸟目	啄木鸟科	1	0
4622	纹胸啄木鸟	Dendrocopos atratus	Stripe-breasted Woodpecker	啄木鸟目	啄木鸟科	2	0
4623	黄颈啄木鸟	Dendrocopos darjellensis	Brown-throated Woodpecker	啄木鸟目	啄木鸟科	3	0
4625	大斑啄木鸟	Dendrocopos major	Great Spotted Woodpecker	啄木鸟目	啄木鸟科	13	0
4626	白背啄木鸟	Dendrocopos leucotos	White-backed Woodpecker	啄木鸟目	啄木鸟科	2	0
4627	红腿小隼	Microhierax caerulescens	Collared Falconet	隼形目	隼科	1	0
4628	白腿小隼	Microhierax melanoleucos	Pied Falconet	隼形目	隼科	3	0
4630	红隼	Falco tinnunculus	Common Kestrel	隼形目	隼科	27	0
4632	红脚隼	Falco amurensis	Eastern Red-footed Falcon	隼形目	隼科	3	0
4633	灰背隼	Falco columbarius	Merlin	隼形目	隼科	1	0
4634	燕隼	Falco subbuteo	Hobby	隼形目	隼科	5	0
4636	猎隼	Falco cherrug	Saker Falcon	隼形目	隼科	0	1
4638	游隼	Falco peregrinus	Peregrine Falcon	隼形目	隼科	20	0
4641	灰头鹦鹉	Psittacula finschii	Grey-headed Parakeet	鹦鹉目	鹦鹉科	2	0
4645	大紫胸鹦鹉	Psittacula derbiana	Derbyan Parakeet	鹦鹉目	鹦鹉科	1	0
4646	亚历山大鹦鹉	Psittacula eupatria	Alexandrine Parakeet	鹦鹉目	鹦鹉科	1	0
4656	仙八色鸫	Pitta nympha	Fairy Pitta	雀形目	八色鸫科	1	0
4657	长尾阔嘴鸟	Psarisomus dalhousiae	Long-tailed Broadbill	雀形目	阔嘴鸟科	5	0
4661	细嘴黄鹂	Oriolus tenuirostris	Slender-billed Oriole	雀形目	黄鹂科	1	0
4662	黑枕黄鹂	Oriolus chinensis	Black-naped Oriole	雀形目	黄鹂科	10	0
4663	黑头黄鹂	Oriolus xanthornus	Black-hooded Oriole	雀形目	黄鹂科	1	0
4664	朱鹂	Oriolus traillii	Maroon Oriole	雀形目	黄鹂科	3	0
4666	白腹凤鹛	Erpornis zantholeuca	White-bellied Erpornis	雀形目	莺雀科	21	1
4668	红翅鵙鹛	Pteruthius aeralatus	Blyth's Shrike-babbler	雀形目	莺雀科	4	0
4669	淡绿鵙鹛	Pteruthius xanthochlorus	Green Shrike-babbler	雀形目	莺雀科	3	0
4670	栗喉鵙鹛	Pteruthius melanotis	Black-eared Shrike-babbler	雀形目	莺雀科	3	1
4672	灰喉山椒鸟	Pericrocotus solaris	Grey-chinned Minivet	雀形目	山椒鸟科	31	1
4673	短嘴山椒鸟	Pericrocotus brevirostris	Short-billed Minivet	雀形目	山椒鸟科	3	0
4674	长尾山椒鸟	Pericrocotus ethologus	Long-tailed Minivet	雀形目	山椒鸟科	5	0
4675	赤红山椒鸟	Pericrocotus speciosus	Scarlet Minivet	雀形目	山椒鸟科	35	0
4676	灰山椒鸟	Pericrocotus divaricatus	Ashy Minivet	雀形目	山椒鸟科	3	0
4678	小灰山椒鸟	Pericrocotus cantonensis	Swinhoe's Minivet	雀形目	山椒鸟科	6	0
4679	粉红山椒鸟	Pericrocotus roseus	Rosy Minivet	雀形目	山椒鸟科	2	0
4680	大鹃鵙	Coracina macei	Large Cuckooshrike	雀形目	山椒鸟科	2	0
4682	暗灰鹃鵙	Lalage melaschistos	Black-winged Cuckooshrike	雀形目	山椒鸟科	11	0
4683	灰燕鵙	Artamus fuscus	Ashy Woodswallow	雀形目	燕鵙科	5	0
4684	褐背鹟鵙	Hemipus picatus	Bar-winged Flycatcher-shrike	雀形目	钩嘴鵙科	1	0
4685	钩嘴林鵙	Tephrodornis virgatus	Large Woodshrike	雀形目	钩嘴鵙科	4	0
4688	白喉扇尾鹟	Rhipidura albicollis	White-throated Fantail	雀形目	扇尾鹟科	9	0
4691	黑卷尾	Dicrurus macrocercus	Black Drongo	雀形目	卷尾科	37	0
4692	灰卷尾	Dicrurus leucophaeus	Ashy Drongo	雀形目	卷尾科	20	0
4694	古铜色卷尾	Dicrurus aeneus	Bronzed Drongo	雀形目	卷尾科	4	2
4695	小盘尾	Dicrurus remifer	Lesser Racket-tailed Drongo	雀形目	卷尾科	2	0
4696	发冠卷尾	Dicrurus hottentottus	Hair-crested Drongo	雀形目	卷尾科	10	0
4697	大盘尾	Dicrurus paradiseus	Greater Racket-tailed Drongo	雀形目	卷尾科	2	0
4698	黑枕王鹟	Hypothymis azurea	Black-naped Monarch	雀形目	王鹟科	8	0
4701	寿带	Terpsiphone incei	Chinese Paradise Flycatcher	雀形目	王鹟科	6	0
4703	虎纹伯劳	Lanius tigrinus	Tiger Shrike	雀形目	伯劳科	5	0
4704	牛头伯劳	Lanius bucephalus	Bull-headed Shrike	雀形目	伯劳科	1	0
4705	红尾伯劳	Lanius cristatus	Brown Shrike	雀形目	伯劳科	18	0
4707	荒漠伯劳	Lanius isabellinus	Isabelline Shrike	雀形目	伯劳科	1	0
4709	栗背伯劳	Lanius collurioides	Burmese Shrike	雀形目	伯劳科	2	0
4711	棕背伯劳	Lanius schach	Long-tailed Shrike	雀形目	伯劳科	163	0
4712	灰背伯劳	Lanius tephronotus	Grey-backed Shrike	雀形目	伯劳科	3	0
4716	楔尾伯劳	Lanius sphenocercus	Chinese Grey Shrike	雀形目	伯劳科	1	0
4720	松鸦	Garrulus glandarius	Eurasian Jay	雀形目	鸦科	15	0
4721	灰喜鹊	Cyanopica cyanus	Azure-winged Magpie	雀形目	鸦科	19	0
4723	黄嘴蓝鹊	Urocissa flavirostris	Yellow-billed Blue Magpie	雀形目	鸦科	3	0
4724	红嘴蓝鹊	Urocissa erythroryncha	Red-billed Blue Magpie	雀形目	鸦科	47	1
4725	白翅蓝鹊	Urocissa whiteheadi	White-winged Magpie	雀形目	鸦科	2	0
4726	蓝绿鹊	Cissa chinensis	Common Green Magpie	雀形目	鸦科	2	0
4727	黄胸绿鹊	Cissa hypoleuca	Indochinese Green Magpie	雀形目	鸦科	2	0
4729	灰树鹊	Dendrocitta formosae	Grey Treepie	雀形目	鸦科	34	0
4730	黑额树鹊	Dendrocitta frontalis	Collared Treepie	雀形目	鸦科	2	1
4731	塔尾树鹊	Temnurus temnurus	Ratchet-tailed Treepie	雀形目	鸦科	1	0
4733	青藏喜鹊	Pica bottanensis	Black-rumped Magpie	雀形目	鸦科	1	0
4734	喜鹊	Pica serica	Oriental Magpie	雀形目	鸦科	96	1
4737	星鸦	Nucifraga caryocatactes	Spotted Nutcracker	雀形目	鸦科	7	0
4738	红嘴山鸦	Pyrrhocorax pyrrhocorax	Red-billed Chough	雀形目	鸦科	2	1
4739	黄嘴山鸦	Pyrrhocorax graculus	Alpine Chough	雀形目	鸦科	1	1
4741	达乌里寒鸦	Corvus dauuricus	Daurian Jackdaw	雀形目	鸦科	1	0
4742	家鸦	Corvus splendens	House Crow	雀形目	鸦科	1	0
4743	秃鼻乌鸦	Corvus frugilegus	Rook	雀形目	鸦科	1	0
4744	小嘴乌鸦	Corvus corone	Carrion Crow	雀形目	鸦科	7	0
4746	白颈鸦	Corvus pectoralis	Collared Crow	雀形目	鸦科	22	1
4747	大嘴乌鸦	Corvus macrorhynchos	Large-billed Crow	雀形目	鸦科	28	1
4748	渡鸦	Corvus corax	Northern Raven	雀形目	鸦科	1	1
4749	黄腹扇尾鹟	Chelidorhynx hypoxanthus	Yellow-bellied Fantail	雀形目	玉鹟科	5	2
4750	方尾鹟	Culicicapa ceylonensis	Grey-headed Canary-flycatcher	雀形目	玉鹟科	16	0
4752	黄眉林雀	Sylviparus modestus	Yellow-browed Tit	雀形目	山雀科	3	0
4753	冕雀	Melanochlora sultanea	Sultan Tit	雀形目	山雀科	3	0
4755	黑冠山雀	Periparus rubidiventris	Rufous-vented Tit	雀形目	山雀科	4	0
4756	煤山雀	Periparus ater	Coal Tit	雀形目	山雀科	8	0
4757	黄腹山雀	Pardaliparus venustulus	Yellow-bellied Tit	雀形目	山雀科	10	0
4758	褐冠山雀	Lophophanes dichrous	Grey Crested Tit	雀形目	山雀科	5	0
4763	沼泽山雀	Poecile palustris	Marsh Tit	雀形目	山雀科	8	0
4764	黑喉山雀	Poecile hypermelaenus	Black-bibbed Tit	雀形目	山雀科	2	0
4766	四川褐头山雀	Poecile weigoldicus	Sichuan Tit	雀形目	山雀科	1	0
4768	地山雀	Pseudopodoces humilis	Ground Tit	雀形目	山雀科	0	1
4770	大山雀	Parus minor	Japanese Tit	雀形目	山雀科	97	2
4771	绿背山雀	Parus monticolus	Green-backed Tit	雀形目	山雀科	16	0
4774	黄颊山雀	Machlolophus spilonotus	Yellow-cheeked Tit	雀形目	山雀科	15	2
4777	中华攀雀	Remiz consobrinus	Chinese Penduline Tit	雀形目	攀雀科	4	0
4780	小云雀	Alauda gulgula	Oriental Skylark	雀形目	百灵科	16	0
4781	云雀	Alauda arvensis	Eurasian Skylark	雀形目	百灵科	6	0
4782	凤头百灵	Galerida cristata	Crested Lark	雀形目	百灵科	1	0
4784	细嘴短趾百灵	Calandrella acutirostris	Hume's Short-toed Lark	雀形目	百灵科	1	0
4795	棕扇尾莺	Cisticola juncidis	Zitting Cisticola	雀形目	扇尾莺科	11	0
4796	金头扇尾莺	Cisticola exilis	Golden-headed Cisticola	雀形目	扇尾莺科	3	0
4797	喜山山鹪莺	Prinia crinigera	Himalayan Prinia	雀形目	扇尾莺科	3	0
4798	山鹪莺	Prinia striata	Striated Prinia	雀形目	扇尾莺科	1	0
4800	白喉山鹪莺	Prinia superciliaris	Hill Prinia	雀形目	扇尾莺科	11	0
4802	灰胸山鹪莺	Prinia hodgsonii	Grey-breasted Prinia	雀形目	扇尾莺科	1	0
4803	黄腹山鹪莺	Prinia flaviventris	Yellow-bellied Prinia	雀形目	扇尾莺科	103	1
4804	纯色山鹪莺	Prinia inornata	Plain Prinia	雀形目	扇尾莺科	130	1
4805	长尾缝叶莺	Orthotomus sutorius	Common Tailorbird	雀形目	扇尾莺科	50	1
4808	东方大苇莺	Acrocephalus orientalis	Oriental Reed Warbler	雀形目	苇莺科	12	1
4810	黑眉苇莺	Acrocephalus bistrigiceps	Black-browed Reed Warbler	雀形目	苇莺科	6	1
4823	鳞胸鹪鹛	Pnoepyga albiventer	Scaly-breasted Cupwing	雀形目	鳞胸鹪鹛科	1	0
4825	尼泊尔鹪鹛	Pnoepyga immaculata	Nepal Cupwing	雀形目	鳞胸鹪鹛科	1	0
4826	小鳞胸鹪鹛	Pnoepyga pusilla	Pygmy Cupwing	雀形目	鳞胸鹪鹛科	24	0
4834	棕褐短翅蝗莺	Locustella luteoventris	Brown Bush Warbler	雀形目	蝗莺科	3	0
4839	北短翅蝗莺	Locustella davidi	Baikal Bush Warbler	雀形目	蝗莺科	1	0
4840	斑胸短翅蝗莺	Locustella thoracica	Spotted Bush Warbler	雀形目	蝗莺科	2	0
4842	高山短翅蝗莺	Locustella mandelli	Russet Bush Warbler	雀形目	蝗莺科	8	0
4844	沼泽大尾莺	Megalurus palustris	Striated Grassbird	雀形目	蝗莺科	2	0
4845	灰喉沙燕	Riparia chinensis	Grey-throated Martin	雀形目	燕科	3	0
4846	崖沙燕	Riparia riparia	Sand Martin	雀形目	燕科	1	0
4847	淡色崖沙燕	Riparia diluta	Pale Martin	雀形目	燕科	5	0
4848	家燕	Hirundo rustica	Barn Swallow	雀形目	燕科	147	2
4854	烟腹毛脚燕	Delichon dasypus	Asian House Martin	雀形目	燕科	15	1
4856	金腰燕	Cecropis daurica	Red-rumped Swallow	雀形目	燕科	67	1
4859	凤头雀嘴鹎	Spizixos canifrons	Crested Finchbill	雀形目	鹎科	6	0
4860	领雀嘴鹎	Spizixos semitorques	Collared Finchbill	雀形目	鹎科	27	0
4863	黑冠黄鹎	Rubigula flaviventris	Black-capped Bulbul	雀形目	鹎科	2	0
4864	红耳鹎	Pycnonotus jocosus	Red-whiskered Bulbul	雀形目	鹎科	97	2
4865	黄臀鹎	Pycnonotus xanthorrhous	Brown-breasted Bulbul	雀形目	鹎科	18	0
4866	白头鹎	Pycnonotus sinensis	Light-vented Bulbul	雀形目	鹎科	200	4
4868	白颊鹎	Pycnonotus leucogenys	Himalayan Bulbul	雀形目	鹎科	1	0
4871	黑喉红臀鹎	Pycnonotus cafer	Red-vented Bulbul	雀形目	鹎科	7	1
4872	白喉红臀鹎	Pycnonotus aurigaster	Sooty-headed Bulbul	雀形目	鹎科	81	1
4874	黄绿鹎	Pycnonotus flavescens	Flavescent Bulbul	雀形目	鹎科	1	0
4875	黄腹冠鹎	Alophoixus flaveolus	White-throated Bulbul	雀形目	鹎科	1	0
4876	白喉冠鹎	Alophoixus pallidus	Puff-throated Bulbul	雀形目	鹎科	3	0
4877	灰眼短脚鹎	Iole propinqua	Grey-eyed Bulbul	雀形目	鹎科	2	0
4878	绿翅短脚鹎	Ixos mcclellandii	Mountain Bulbul	雀形目	鹎科	33	0
4879	灰短脚鹎	Hemixos flavala	Ashy Bulbul	雀形目	鹎科	1	0
4880	栗背短脚鹎	Hemixos castanonotus	Chestnut Bulbul	雀形目	鹎科	34	0
4881	黑短脚鹎	Hypsipetes leucocephalus	Black Bulbul	雀形目	鹎科	51	1
4882	栗耳短脚鹎	Hypsipetes amaurotis	Brown-eared Bulbul	雀形目	鹎科	4	0
4884	橙斑翅柳莺	Phylloscopus pulcher	Buff-barred Warbler	雀形目	柳莺科	5	0
4885	灰喉柳莺	Phylloscopus maculipennis	Ashy-throated Warbler	雀形目	柳莺科	4	1
4886	淡眉柳莺	Phylloscopus humei	Hume's Leaf Warbler	雀形目	柳莺科	2	0
4887	黄眉柳莺	Phylloscopus inornatus	Yellow-browed Warbler	雀形目	柳莺科	24	0
4888	云南柳莺	Phylloscopus yunnanensis	Chinese Leaf Warbler	雀形目	柳莺科	3	0
4889	淡黄腰柳莺	Phylloscopus chloronotus	Lemon-rumped Warbler	雀形目	柳莺科	1	0
4890	四川柳莺	Phylloscopus forresti	Sichuan Leaf Warbler	雀形目	柳莺科	2	0
4891	甘肃柳莺	Phylloscopus kansuensis	Gansu Leaf Warbler	雀形目	柳莺科	1	0
4892	黄腰柳莺	Phylloscopus proregulus	Pallas's Leaf Warbler	雀形目	柳莺科	12	0
4893	棕眉柳莺	Phylloscopus armandii	Yellow-streaked Warbler	雀形目	柳莺科	4	0
4894	巨嘴柳莺	Phylloscopus schwarzi	Radde's Warbler	雀形目	柳莺科	1	0
4897	华西柳莺	Phylloscopus occisinensis	Alpine Leaf Warbler	雀形目	柳莺科	2	0
4898	烟柳莺	Phylloscopus fuligiventer	Smoky Warbler	雀形目	柳莺科	2	0
4899	褐柳莺	Phylloscopus fuscatus	Dusky Warbler	雀形目	柳莺科	45	1
4900	棕腹柳莺	Phylloscopus subaffinis	Buff-throated Warbler	雀形目	柳莺科	2	0
4903	叽喳柳莺	Phylloscopus collybita	Common Chiffchaff	雀形目	柳莺科	1	0
4904	冕柳莺	Phylloscopus coronatus	Eastern Crowned Warbler	雀形目	柳莺科	5	0
4906	白眶鹟莺	Phylloscopus intermedius	White-spectacled Warbler	雀形目	柳莺科	4	0
4907	灰脸鹟莺	Phylloscopus poliogenys	Grey-cheeked Warbler	雀形目	柳莺科	1	0
4909	灰冠鹟莺	Phylloscopus tephrocephalus	Grey-crowned Warbler	雀形目	柳莺科	4	0
4910	韦氏鹟莺	Phylloscopus whistleri	Whistler's Warbler	雀形目	柳莺科	1	0
4911	比氏鹟莺	Phylloscopus valentini	Bianchi's Warbler	雀形目	柳莺科	3	0
4912	淡尾鹟莺	Phylloscopus soror	Alström's Warbler	雀形目	柳莺科	2	0
4913	峨眉鹟莺	Phylloscopus omeiensis	Martens's Warbler	雀形目	柳莺科	3	0
4914	双斑绿柳莺	Phylloscopus plumbeitarsus	Two-barred Warbler	雀形目	柳莺科	2	0
4915	暗绿柳莺	Phylloscopus trochiloides	Greenish Warbler	雀形目	柳莺科	3	0
4916	峨眉柳莺	Phylloscopus emeiensis	Emei Leaf Warbler	雀形目	柳莺科	1	0
4917	乌嘴柳莺	Phylloscopus magnirostris	Large-billed Leaf Warbler	雀形目	柳莺科	3	0
4918	库页岛柳莺	Phylloscopus borealoides	Sakhalin Leaf Warbler	雀形目	柳莺科	1	0
4919	淡脚柳莺	Phylloscopus tenellipes	Pale-legged Leaf Warbler	雀形目	柳莺科	3	0
4922	极北柳莺	Phylloscopus borealis	Arctic Warbler	雀形目	柳莺科	8	0
4923	栗头鹟莺	Phylloscopus castaniceps	Chestnut-crowned Warbler	雀形目	柳莺科	10	0
4924	灰岩柳莺	Phylloscopus calciatilis	Limestone Leaf Warbler	雀形目	柳莺科	1	0
4925	黑眉柳莺	Phylloscopus ricketti	Sulphur-breasted Warbler	雀形目	柳莺科	2	0
4927	西南冠纹柳莺	Phylloscopus reguloides	Blyth's Leaf Warbler	雀形目	柳莺科	2	0
4928	冠纹柳莺	Phylloscopus claudiae	Claudia's Leaf Warbler	雀形目	柳莺科	5	0
4929	华南冠纹柳莺	Phylloscopus goodsoni	Hartert's Leaf Warbler	雀形目	柳莺科	5	0
4930	白斑尾柳莺	Phylloscopus ogilviegranti	Kloss's Leaf Warbler	雀形目	柳莺科	8	0
4931	海南柳莺	Phylloscopus hainanus	Hainan Leaf Warbler	雀形目	柳莺科	1	0
4932	云南白斑尾柳莺	Phylloscopus intensior	Davison's Leaf Warbler	雀形目	柳莺科	1	0
4933	灰头柳莺	Phylloscopus xanthoschistos	Grey-hooded Warbler	雀形目	柳莺科	1	0
4934	黄腹鹟莺	Abroscopus superciliaris	Yellow-bellied Warbler	雀形目	树莺科	3	0
4935	棕脸鹟莺	Abroscopus albogularis	Rufous-faced Warbler	雀形目	树莺科	18	0
4936	黑脸鹟莺	Abroscopus schisticeps	Black-faced Warbler	雀形目	树莺科	1	0
4937	栗头织叶莺	Phyllergates cucullatus	Mountain Tailorbird	雀形目	树莺科	5	0
4940	远东树莺	Horornis canturians	Manchurian Bush Warbler	雀形目	树莺科	1	0
4941	强脚树莺	Horornis fortipes	Brown-flanked Bush Warbler	雀形目	树莺科	26	0
4943	黄腹树莺	Horornis acanthizoides	Yellow-bellied Bush Warbler	雀形目	树莺科	3	0
4944	异色树莺	Horornis flavolivaceus	Aberrant Bush Warbler	雀形目	树莺科	2	0
4945	灰腹地莺	Tesia cyaniventer	Grey-bellied Tesia	雀形目	树莺科	2	0
4946	金冠地莺	Tesia olivea	Slaty-bellied Tesia	雀形目	树莺科	1	0
4949	棕顶树莺	Cettia brunnifrons	Grey-sided Bush Warbler	雀形目	树莺科	1	0
4950	栗头树莺	Cettia castaneocoronata	Chestnut-headed Tesia	雀形目	树莺科	1	0
4951	鳞头树莺	Urosphena squameiceps	Asian Stubtail	雀形目	树莺科	1	0
4952	淡脚树莺	Hemitesia pallidipes	Pale-footed Bush Warbler	雀形目	树莺科	4	0
4953	北长尾山雀	Aegithalos caudatus	Long-tailed Tit	雀形目	长尾山雀科	5	0
4954	银喉长尾山雀	Aegithalos glaucogularis	Silver-throated Bushtit	雀形目	长尾山雀科	8	0
4955	红头长尾山雀	Aegithalos concinnus	Black-throated Bushtit	雀形目	长尾山雀科	41	1
4956	棕额长尾山雀	Aegithalos iouschistos	Rufous-fronted Bushtit	雀形目	长尾山雀科	2	0
4957	黑眉长尾山雀	Aegithalos bonvaloti	Black-browed Bushtit	雀形目	长尾山雀科	6	0
4958	银脸长尾山雀	Aegithalos fuliginosus	Sooty Bushtit	雀形目	长尾山雀科	6	0
4959	花彩雀莺	Leptopoecile sophiae	White-browed Tit-warbler	雀形目	长尾山雀科	1	0
4960	凤头雀莺	Leptopoecile elegans	Crested Tit-warbler	雀形目	长尾山雀科	1	0
4969	火尾绿鹛	Myzornis pyrrhoura	Fire-tailed Myzornis	雀形目	鸦雀科	2	1
4970	金胸雀鹛	Lioparus chrysotis	Golden-breasted Fulvetta	雀形目	鸦雀科	3	0
4971	宝兴鹛雀	Moupinia poecilotis	Rufous-tailed Babbler	雀形目	鸦雀科	2	0
4972	白眉雀鹛	Fulvetta vinipectus	White-browed Fulvetta	雀形目	鸦雀科	3	0
4973	中华雀鹛	Fulvetta striaticollis	Chinese Fulvetta	雀形目	鸦雀科	2	0
4975	路氏雀鹛	Fulvetta ludlowi	Brown-throated Fulvetta	雀形目	鸦雀科	1	0
4976	灰头雀鹛	Fulvetta cinereiceps	Grey-hooded Fulvetta	雀形目	鸦雀科	2	0
4979	金眼鹛雀	Chrysomma sinense	Yellow-eyed Babbler	雀形目	鸦雀科	1	0
4980	山鹛	Rhopophilus pekinensis	Beijing Hill-warbler	雀形目	鸦雀科	1	0
4982	红嘴鸦雀	Conostoma aemodium	Great Parrotbill	雀形目	鸦雀科	2	0
4983	三趾鸦雀	Cholornis paradoxus	Three-toed Parrotbill	雀形目	鸦雀科	2	0
4984	褐鸦雀	Cholornis unicolor	Brown Parrotbill	雀形目	鸦雀科	1	0
4985	白眶鸦雀	Sinosuthora conspicillata	Spectacled Parrotbill	雀形目	鸦雀科	1	0
4986	棕头鸦雀	Sinosuthora webbiana	Vinous-throated Parrotbill	雀形目	鸦雀科	16	1
4987	灰喉鸦雀	Sinosuthora alphonsiana	Ashy-throated Parrotbill	雀形目	鸦雀科	4	0
4989	暗色鸦雀	Sinosuthora zappeyi	Grey-hooded Parrotbill	雀形目	鸦雀科	1	0
4991	黄额鸦雀	Suthora fulvifrons	Fulvous Parrotbill	雀形目	鸦雀科	1	0
4993	金色鸦雀	Suthora verreauxi	Golden Parrotbill	雀形目	鸦雀科	1	0
4994	短尾鸦雀	Neosuthora davidiana	Short-tailed Parrotbill	雀形目	鸦雀科	2	0
4995	黑眉鸦雀	Chleuasicus atrosuperciliaris	Pale-billed Parrotbill	雀形目	鸦雀科	1	0
4996	白胸鸦雀	Psittiparus ruficeps	White-breasted Parrotbill	雀形目	鸦雀科	1	0
4997	红头鸦雀	Psittiparus bakeri	Rufous-headed Parrotbill	雀形目	鸦雀科	1	0
4998	灰头鸦雀	Psittiparus gularis	Grey-headed Parrotbill	雀形目	鸦雀科	8	0
5000	点胸鸦雀	Paradoxornis guttaticollis	Spot-breasted Parrotbill	雀形目	鸦雀科	4	0
5002	白领凤鹛	Parayuhina diademata	White-collared Yuhina	雀形目	绣眼鸟科	6	0
5003	栗耳凤鹛	Staphida castaniceps	Striated Yuhina	雀形目	绣眼鸟科	2	0
5004	栗颈凤鹛	Staphida torqueola	Indochinese Yuhina	雀形目	绣眼鸟科	16	0
5005	白颈凤鹛	Parayuhina bakeri	White-naped Yuhina	雀形目	绣眼鸟科	1	0
5006	黄颈凤鹛	Yuhina flavicollis	Whiskered Yuhina	雀形目	绣眼鸟科	6	1
5007	纹喉凤鹛	Yuhina gularis	Stripe-throated Yuhina	雀形目	绣眼鸟科	7	0
5008	棕臀凤鹛	Yuhina occipitalis	Rufous-vented Yuhina	雀形目	绣眼鸟科	1	0
5010	黑颏凤鹛	Yuhina nigrimenta	Black-chinned Yuhina	雀形目	绣眼鸟科	6	1
5011	红胁绣眼鸟	Zosterops erythropleurus	Chestnut-flanked White-eye	雀形目	绣眼鸟科	3	0
5013	暗绿绣眼鸟	Zosterops simplex	Swinhoe's White-eye	雀形目	绣眼鸟科	126	2
5015	灰腹绣眼鸟	Zosterops palpebrosus	Indian White-eye	雀形目	绣眼鸟科	9	0
5016	长嘴钩嘴鹛	Erythrogenys hypoleucos	Large Scimitar Babbler	雀形目	林鹛科	3	0
5019	斑胸钩嘴鹛	Erythrogenys gravivox	Black-streaked Scimitar Babbler	雀形目	林鹛科	3	0
5020	华南斑胸钩嘴鹛	Erythrogenys swinhoei	Grey-sided Scimitar Babbler	雀形目	林鹛科	20	1
