Struthio molybdophanes	Somali Ostrich
Anas melleri	Meller's Duck
Anas undulata	Yellow-billed Duck
Anas luzonica	Philippine Duck
Anas superciliosa	Pacific Black Duck
Anas wyvilliana	Hawaiian Duck
Anas laysanensis	Laysan Duck
Anas zonorhyncha	Eastern Spot-billed Duck
Anas poecilorhyncha	Indian Spot-billed Duck
Anas platyrhynchos	Mallard
Anas diazi	Mexican Duck
Anas rubripes	American Black Duck
Anas fulvigula	Mottled Duck
Anas capensis	Cape Teal
Anas bahamensis	White-cheeked Pintail
Anas erythrorhyncha	Red-billed Teal
Anas georgica	Yellow-billed Pintail
Anas acuta	Northern Pintail
Anas eatoni	Eaton's Pintail
Anas crecca	Green-winged Teal
Anas flavirostris	Yellow-billed Teal
Anas andium	Andean Teal
Anas gibberifrons	Sunda Teal
Anas albogularis	Andaman Teal
Anas castanea	Chestnut Teal
Anas gracilis	Grey Teal
Anas bernieri	Bernier's Teal
Anas theodori	Mascarene Teal
Anas chlorotis	Brown Teal
Anas aucklandica	Auckland Teal
Anas nesiotis	Campbell Teal
Leipoa ocellata	Malleefowl
Talegalla cuvieri	Red-billed Brushturkey
Talegalla fuscirostris	Black-billed Brushturkey
Talegalla jobiensis	Collared Brushturkey
Alectura lathami	Australian Brushturkey
Aepypodius bruijnii	Waigeo Brushturkey
Aepypodius arfakianus	Wattled Brushturkey
Macrocephalon maleo	Maleo
Eulipoa wallacei	Moluccan Megapode
Megapodius pritchardii	Tongan Megapode
Megapodius laperouse	Micronesian Megapode
Megapodius nicobariensis	Nicobar Megapode
Megapodius cumingii	Philippine Megapode
Megapodius bernsteinii	Sula Megapode
Megapodius tenimberensis	Tanimbar Megapode
Megapodius freycinet	Dusky Megapode
Megapodius geelvinkianus	Biak Scrubfowl
Megapodius eremita	Melanesian Megapode
Megapodius layardi	Vanuatu Megapode
Megapodius decollatus	New Guinea Scrubfowl
Megapodius reinwardt	Orange-footed Scrubfowl
Penelopina nigra	Highland Guan
Chamaepetes unicolor	Black Guan
Chamaepetes goudotii	Sickle-winged Guan
Aburria aburri	Wattled Guan
Pipile pipile	Trinidad Piping Guan
Pipile cumanensis	Blue-throated Piping Guan
Pipile grayi	White-throated Piping Guan
Pipile cujubi	Red-throated Piping Guan
Pipile jacutinga	Black-fronted Piping Guan
Penelope argyrotis	Band-tailed Guan
Penelope barbata	Bearded Guan
Penelope ortoni	Baudo Guan
Penelope montagnii	Andean Guan
Penelope marail	Marail Guan
Penelope superciliaris	Rusty-margined Guan
Penelope dabbenei	Red-faced Guan
Penelope jacquacu	Spix's Guan
Penelope purpurascens	Crested Guan
Penelope perspicax	Cauca Guan
Penelope albipennis	White-winged Guan
Penelope obscura	Dusky-legged Guan
Penelope bridgesi	Yungas Guan
Penelope pileata	White-crested Guan
Penelope ochrogaster	Chestnut-bellied Guan
Penelope jacucaca	White-browed Guan
Oreophasis derbianus	Horned Guan
Crax rubra	Great Curassow
Crax alberti	Blue-billed Curassow
Crax daubentoni	Yellow-knobbed Curassow
Crax alector	Black Curassow
Crax globulosa	Wattled Curassow
Crax fasciolata	Bare-faced Curassow
Crax blumenbachii	Red-billed Curassow
Pauxi pauxi	Helmeted Curassow
Pauxi koepckeae	Sira Curassow
Pauxi unicornis	Horned Curassow
Nothocrax urumutum	Nocturnal Curassow
Mitu tomentosum	Crestless Curassow
Mitu salvini	Salvin's Curassow
Mitu tuberosum	Razor-billed Curassow
Mitu mitu	Alagoas Curassow
Ortalis vetula	Plain Chachalaca
Ortalis cinereiceps	Grey-headed Chachalaca
Ortalis garrula	Chestnut-winged Chachalaca
Ortalis ruficauda	Rufous-vented Chachalaca
Ortalis erythroptera	Rufous-headed Chachalaca
Ortalis wagleri	Rufous-bellied Chachalaca
Ortalis poliocephala	West Mexican Chachalaca
Ortalis canicollis	Chaco Chachalaca
Ortalis leucogastra	White-bellied Chachalaca
Ortalis columbiana	Colombian Chachalaca
Ortalis guttata	Speckled Chachalaca
Ortalis araucuan	East Brazilian Chachalaca
Ortalis squamata	Scaled Chachalaca
Ortalis motmot	Little Chachalaca
Ortalis ruficeps	Chestnut-headed Chachalaca
Ortalis superciliaris	Buff-browed Chachalaca
Numida meleagris	Helmeted Guineafowl
Agelastes meleagrides	White-breasted Guineafowl
Agelastes niger	Black Guineafowl
Acryllium vulturinum	Vulturine Guineafowl
Guttera plumifera	Plumed Guineafowl
Guttera pucherani	Eastern Crested Guineafowl
Guttera verreauxi	Western Crested Guineafowl
Guttera edouardi	Southern Crested Guineafowl
Ptilopachus nahani	Nahan's Partridge
