	雀形目	PASSERIFORMES	黄鹂科	Oriolidae (1:7)		
	0657#	Oriolus traillii	朱鹂	Maroon Oriole	LC	-
	0654#	Oriolus chinensis	黑枕黄鹂	Black-naped Oriole	LC	-
	雀形目	PASSERIFORMES	卷尾科	Dicruridae (1:7)		
	0675#	Dicrurus aeneus	古铜色卷尾	Bronzed Drongo	LC	-
	0676#	Dicrurus remifer	小盘尾	Lesser Racket-tailed Drongo	LC	-
	0674#	Dicrurus annectens	鸦嘴卷尾	Crow-billed Drongo	LC	-
	0677#	Dicrurus hottentottus	发冠卷尾	Hair-crested Drongo	LC	-
	0673#	Dicrurus leucophaeus	灰卷尾	Ashy Drongo	LC	-
	0672#	Dicrurus macrocercus	黑卷尾	Black Drongo	LC	-
	雀形目	PASSERIFORMES	扇尾鹟科	Rhipiduridae (1:2)		
	0670#	Rhipidura albicollis	白喉扇尾鹟	White-throated Fantail	LC	-
	雀形目	PASSERIFORMES	王鹟科	Monarchidae (2:5)		
	0679#	Hypothymis azurea	黑枕王鹟	Black-naped Monarch	LC	-
	0681#	Terpsiphone incei	寿带	Amur Paradise Flycatcher	LC	-
	雀形目	PASSERIFORMES	鸦科	Corvidae (13:32)		
	0621#	Garrulus glandarius	松鸦	Eurasian Jay	LC	-
	0626#	Urocissa erythroryncha	红嘴蓝鹊	Red-billed Blue Magpie	LC	-
	0627#	Urocissa whiteheadi	白翅蓝鹊	White-winged Magpie	EN	-
	0632#	Dendrocitta formosae	灰树鹊	Grey Treepie	LC	-
	0648#	Corvus macrorhynchos	大嘴乌鸦	Large-billed Crow	LC	-
	雀形目	PASSERIFORMES	仙莺科	Stenostiridae (2:2)		
	0759#	Culicicapa ceylonensis	方尾鹟	Grey-headed Canary Flycatcher	LC	-
	雀形目	PASSERIFORMES	山雀科	Paridae (12:25)		
	0870#	Sylviparus modestus	黄眉林雀	Yellow-browed Tit	LC	-
	0871#	Melanochlora sultanea	冕雀	Sultan Tit	LC	-
	-	Parus minor	远东山雀	Japanese Tit	NR	-
	0864#	Parus monticolus	绿背山雀	Green-backed Tit	LC	-
