4113	罗纹鸭	Mareca falcata	Falcated Duck	雁形目	鸭科
4114	赤膀鸭	Mareca strepera	Gadwall	雁形目	鸭科
4115	赤颈鸭	Mareca penelope	Eurasian Wigeon	雁形目	鸭科
4116	绿眉鸭	Mareca americana	American Wigeon	雁形目	鸭科
4117	棕颈鸭	Anas luzonica	Philippine Duck	雁形目	鸭科
4118	斑嘴鸭	Anas zonorhyncha	Chinese Spot-billed Duck	雁形目	鸭科
4119	南亚斑嘴鸭	Anas poecilorhyncha	Indian Spot-billed Duck	雁形目	鸭科
4120	绿头鸭	Anas platyrhynchos	Mallard	雁形目	鸭科
4121	针尾鸭	Anas acuta	Northern Pintail	雁形目	鸭科
4122	绿翅鸭	Anas crecca	Eurasian Teal	雁形目	鸭科
4123	小䴙䴘	Tachybaptus ruficollis	Little Grebe	䴙䴘目	䴙䴘科
4124	赤颈䴙䴘	Podiceps grisegena 	Red-necked Grebe	䴙䴘目	䴙䴘科
4125	凤头䴙䴘	Podiceps cristatus 	Great Crested Grebe	䴙䴘目	䴙䴘科
4126	角䴙䴘	Podiceps auritus	Slavonian Grebe	䴙䴘目	䴙䴘科
4127	黑颈䴙䴘	Podiceps nigricollis 	Black-necked Grebe	䴙䴘目	䴙䴘科
4128	大红鹳	Phoenicopterus roseus	Greater Flamingo	红鹳目	红鹳科
4129	红嘴鹲	Phaethon aethereus	Red-billed Tropicbird	鹲形目	鹲科
4130	红尾鹲	Phaethon rubricauda	Red-tailed Tropicbird	鹲形目	鹲科
4131	白尾鹲	Phaethon lepturus	White-tailed Tropicbird	鹲形目	鹲科
4132	斑姬地鸠	Geopelia striata	Zebra Dove	鸽形目	鸠鸽科
4133	原鸽	Columba livia	Rock Dove	鸽形目	鸠鸽科
4134	岩鸽	Columba rupestris	Hill Pigeon	鸽形目	鸠鸽科
4135	雪鸽	Columba leuconota	Snow Pigeon	鸽形目	鸠鸽科
4136	欧鸽	Columba oenas	Stock Dove	鸽形目	鸠鸽科
4137	中亚鸽	Columba eversmanni	Pale-backed Pigeon	鸽形目	鸠鸽科
4138	斑尾林鸽	Columba palumbus	Wood Pigeon	鸽形目	鸠鸽科
4139	斑林鸽	Columba hodgsonii	Speckled Wood Pigeon	鸽形目	鸠鸽科
4140	灰林鸽	Columba pulchricollis	Ashy Wood Pigeon	鸽形目	鸠鸽科
4141	紫林鸽	Columba punicea	Pale-capped Pigeon	鸽形目	鸠鸽科
4142	黑林鸽	Columba janthina	Japanese Wood Pigeon	鸽形目	鸠鸽科
4143	白喉林鸽	Columba vitiensis	Metallic Pigeon	鸽形目	鸠鸽科
4144	欧斑鸠	Streptopelia turtur	Turtle Dove	鸽形目	鸠鸽科
4145	山斑鸠	Streptopelia orientalis	Oriental Turtle Dove	鸽形目	鸠鸽科
4146	灰斑鸠	Streptopelia decaocto	Eurasian Collared Dove	鸽形目	鸠鸽科
4147	火斑鸠	Streptopelia tranquebarica	Red Turtle Dove	鸽形目	鸠鸽科
4148	珠颈斑鸠	Spilopelia chinensis	Spotted Dove	鸽形目	鸠鸽科
4149	棕斑鸠	Spilopelia senegalensis	Laughing Dove	鸽形目	鸠鸽科
4150	斑尾鹃鸠	Macropygia unchall	Bar-tailed Cuckoo Dove	鸽形目	鸠鸽科
4151	菲律宾鹃鸠	Macropygia tenuirostris	Philippine Cuckoo Dove	鸽形目	鸠鸽科
4152	小鹃鸠	Macropygia ruficeps	Lesser Red Cuckoo Dove	鸽形目	鸠鸽科
4153	绿翅金鸠	Chalcophaps indica	Emerald Dove	鸽形目	鸠鸽科
4154	橙胸绿鸠	Treron bicinctus	Orange-breasted Green Pigeon	鸽形目	鸠鸽科
4155	灰头绿鸠	Treron phayrei	Ashy-headed Green-pigeon	鸽形目	鸠鸽科
4156	厚嘴绿鸠	Treron curvirostra	Thick-billed Green Pigeon	鸽形目	鸠鸽科
4157	黄脚绿鸠	Treron phoenicopterus	Yellow-footed Green Pigeon	鸽形目	鸠鸽科
4158	针尾绿鸠	Treron apicauda	Pin-tailed Green Pigeon	鸽形目	鸠鸽科
4159	白腹针尾绿鸠	Treron seimundi	Yellow-vented Green Pigeon	鸽形目	鸠鸽科
4160	楔尾绿鸠	Treron sphenurus	Wedge-tailed Green Pigeon	鸽形目	鸠鸽科
4161	红翅绿鸠	Treron sieboldii	White-bellied Green Pigeon	鸽形目	鸠鸽科
4162	红顶绿鸠	Treron formosae	Whistling Green Pigeon	鸽形目	鸠鸽科
4163	绿皇鸠	Ducula aenea	Green Imperial Pigeon	鸽形目	鸠鸽科
4164	山皇鸠	Ducula badia	Imperial Pigeon	鸽形目	鸠鸽科
